bump_region_mse,detail_amplitude,detail_amplitude_error,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,0.002087667118757963,,,,,0.0,fp32,,0.0,0,0.0,0,linear,,,,,0.02506483905017376,,0.0
,,,0.018794875126332045,,0.9999999999999998,0.0,0.0,0.0,fp32,,0.0,0,0.0,20,linear,0.9999999999999998,0.0,0.005318356677889824,,0.0044942921958863735,0.9999999999999998,0.0
,,,0.034867375157773495,,0.9999999999999993,0.0,0.0,0.0,fp32,,0.0,0,0.0,40,linear,0.9999999999999993,0.0,0.0004300825239624828,,0.0003291736647952348,0.9999999999999993,0.0
,,,0.05080895917490125,,0.999999999999999,0.0,0.0,0.0,fp32,,0.0,0,0.0,60,linear,0.999999999999999,0.0,0.00015956677088979632,,0.00017564765585120767,0.999999999999999,0.0
,,,0.06603195914067328,,0.9999999999999979,0.0,0.0,0.0,fp32,,0.0,0,0.0,80,linear,0.9999999999999979,0.0,0.00013749030767939985,,0.00011416244524298236,0.9999999999999979,0.0
,,,0.0814685421064496,,0.9999999999999983,0.0,0.0,0.0,fp32,,0.0,0,0.0,100,linear,0.9999999999999983,0.0,8.416637865593657e-05,,9.670241706771776e-05,0.9999999999999983,0.0
,,,0.0025202918332070112,,,,,0.0,fixed-e4m3,,0.0,0,0.0,0,linear,,,,,0.02696402184665203,,0.00028272633790038526
,,,0.07193712494336069,,0.99953182283217,1.0375078263565512e-08,0.0,0.0,fixed-e4m3,,0.0,0,0.0,20,linear,0.9515619830104466,1.0525428834852646e-06,0.005775555036962032,,0.005007835105061531,0.9501120034468559,0.0001762831670930609
,,,0.1394288339652121,,0.9997831566677926,5.31710783990238e-10,0.0,0.0,fixed-e4m3,,0.0,0,0.0,40,linear,0.8944742524467694,2.7799558776239144e-07,0.0003841234720312059,,0.0003618958289735019,0.8953354694123683,7.346503116423264e-05
,,,0.20703758392482996,,0.9996114335169336,4.907417422624527e-10,0.0,0.0,fixed-e4m3,,0.0,0,0.0,60,linear,-0.03995635689023069,6.550347258428056e-07,0.0005803824169561267,,0.0005617386777885258,-0.04031149760575582,0.0003979671164415777
,,,0.27447116700932384,,0.9996087146791723,2.96167156688639e-10,0.0,0.0,fixed-e4m3,,0.0,0,0.0,80,linear,0.4830961643462416,2.6702197193092036e-07,0.00017811405996326357,,0.00018027139594778419,0.48141060001485614,0.00019276079547125846
