bump_region_mse,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,relative_to_constant_mse,reselection_seconds,seed,selection_seconds,step,target,target_variance,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,,1.5000384158920497,,0.9999999999999984,0.0,0.0,0.0,fp32,,1.319043803960085e-06,0.0,0,0.0,2000,linear,0.4296875,0.9999999999999984,0.0,6.915431640663883e-07,,5.66776634514099e-07,0.9999999999999984,0.0
,,,,10.323738874867558,,0.9997532809267553,8.391116878613806e-12,0.0,0.0,fixed-e4m3,,1.7490588255565275e-05,0.0,0,0.0,2000,linear,0.4296875,-0.9432570885402115,7.581303211056491e-07,4.074229764228221e-06,,7.515487141063204e-06,-0.9450060743579758,0.00014830620784778148
,,,,10.134691749932244,,0.9987998170165301,1.3180240675717444e-12,0.0,0.0,fixed-e5m2,,2.9804163866422392e-06,0.0,0,0.0,2000,linear,0.4296875,0.6709757178689842,5.356579588485583e-06,9.750879144121427e-07,,1.2806476661353372e-06,0.6656558628601064,0.0015039429999887943
,,,,9.241236999863759,,0.9988649664029432,6.069056077692523e-13,0.0,0.0,fixed-hybrid,,1.617822139947252e-06,0.0,0,0.0,2000,linear,0.4296875,0.6844144607799765,1.2710539761331613e-07,7.365103442680265e-07,,6.951579507585848e-07,0.67987065957852,3.5734843550017104e-05
,,,,8.570320874918252,,0.9999278641249109,1.2778101011117726e-12,0.019196661450182576,0.009513334138318896,calibrated,,2.62992451263761e-06,0.0,0,0.009513334138318896,2000,linear,0.4296875,0.9605005158619973,3.103694922800139e-07,2.6304535367671633e-06,,1.130045689023973e-06,0.9599704894945611,7.18117953510955e-05
,,,,8.701244625030085,,0.9999278641249109,1.2778101011117726e-12,0.019196661450182576,0.009513334138318896,adaptive,,2.62992451263761e-06,0.10014251247048378,0,0.10965584660880268,2000,linear,0.4296875,0.9607829391941581,3.0809997744971466e-07,2.6304535367671633e-06,,1.130045689023973e-06,0.9602552380907293,7.13656991138123e-05
,,,,1.3562335001770407,,0.9999999999999993,0.0,0.0,0.0,fp32,,1.3678600524587096e-05,0.0,0,0.0,2000,kink,0.11517699807882309,0.9999999999999993,0.0,1.9815468021988636e-06,4.700093086285051e-06,1.5754601463413564e-06,0.9999999999999993,0.0
,,,,8.508299167035148,,0.9996267438302558,7.864056568317096e-13,0.00010432968179447053,0.0,fixed-e4m3,,3.2495640496184776e-05,0.0,0,0.0,2000,kink,0.11517699807882309,-0.28471211147993664,2.837940806088122e-06,2.6857728698814753e-06,8.586785043007694e-06,3.7427503229992e-06,-0.28650461419201384,0.000981727265752852
,,,,8.40619729203172,,0.9987409102096891,1.3542174684030877e-10,0.0,0.0,fixed-e5m2,,0.0002176193588595117,0.0,0,0.0,2000,kink,0.11517699807882309,-0.6005046397138586,2.54733291955169e-06,2.0121035049669445e-05,2.3387598048429936e-05,2.506474447727669e-05,-0.6042841591116109,0.0008872305625118315
,,,,8.556295624934137,,0.9984526071194535,2.666435917227965e-12,0.0,0.0,fixed-hybrid,,1.8310108619473373e-05,0.0,0,0.0,2000,kink,0.11517699807882309,0.353272163963754,2.9610220024736486e-06,2.054609012702713e-06,4.173665274720406e-06,2.1089033452881267e-06,0.35278484709927205,0.0010431889677420259
,,,,8.848898333963007,,0.9998587679192349,2.856487395885687e-13,0.019092331768388107,0.005409125005826354,calibrated,,3.612408039682063e-05,0.0,0,0.005409125005826354,2000,kink,0.11517699807882309,0.12929155270261847,1.9071158997571868e-07,2.1599164483632194e-06,4.685043677454814e-06,4.16066313846386e-06,0.1275211942168278,6.093966294429265e-05
,,,,8.784541707951576,,0.9998939901937474,2.5960764685638544e-11,0.015336463223787167,0.005409125005826354,adaptive,,6.718450116351646e-05,0.09945229161530733,0,0.10486141662113369,2000,kink,0.11517699807882309,0.2746922050971575,1.6775345848483187e-07,3.098849265370518e-05,6.069660230423324e-06,7.738109161437023e-06,0.27308822934064103,5.3743049647891894e-05
,,,,1.381804833188653,8.403059473494068e-05,0.9999999999999993,0.0,0.0,0.0,fp32,,8.879899105968873e-05,0.0,0,0.0,2000,plateau,0.8359577059745789,0.9999999999999993,0.0,6.915853737154976e-05,3.311036198283546e-05,7.423220085911453e-05,0.9999999999999993,0.0
,,,,8.407944957958534,6.819287227699533e-05,0.9997057211756782,3.552103714792857e-11,0.0,0.0,fixed-e4m3,,7.517354020155678e-05,0.0,0,0.0,2000,plateau,0.8359577059745789,0.11841006313360522,1.9238693469225594e-06,1.8469187125447206e-05,4.0384951716987416e-05,6.284190021688119e-05,0.12076930736784648,0.00037203787360340357
,,,,8.548532417044044,1.7179108908749186e-05,0.9984970055915151,3.496567874347909e-10,0.0,0.0,fixed-e5m2,,7.125944705353355e-05,0.0,0,0.0,2000,plateau,0.8359577059745789,0.523851235262608,7.958579081315683e-06,6.584257789654657e-05,0.00023747561499476433,5.9569883887888864e-05,0.519444633431839,0.0009347370942123234
,,,,8.828923833090812,5.136438267072663e-05,0.9989281526073468,7.830728864931099e-10,0.0,0.0,fixed-hybrid,,5.567682559311048e-05,0.0,0,0.0,2000,plateau,0.8359577059745789,-0.6968136747254825,3.4034841482607047e-06,3.6281897337175906e-05,2.6311055989935994e-05,4.654347139876336e-05,-0.6992278140174033,0.00039057323010638356
,,,,8.772040541982278,0.00018777159857563674,0.9998989675564139,1.6317438166549263e-10,0.012832550860719875,0.0052729579620063305,calibrated,,0.00022442002411552321,0.0,0,0.0052729579620063305,2000,plateau,0.8359577059745789,0.7509086322205869,4.624429677304982e-07,6.058487997506745e-05,0.00018690920842345804,0.00018760564853437245,0.7516164463462455,0.00010489831038285047
