bump_region_mse,detail_amplitude,detail_amplitude_error,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,0.0024457499384880066,,,,,0.0,fp32,,0.0,0,0.0,0,linear,,,,,0.0003291736647952348,,0.0
,,,0.07645937497727573,,0.9999999999999984,0.0,0.0,0.0,fp32,,0.0,0,0.0,100,linear,0.9999999999999984,0.0,7.991020538611338e-05,,6.610843411181122e-05,0.9999999999999984,0.0
,,,0.14459141599945724,,0.9999999999999997,0.0,0.0,0.0,fp32,,0.0,0,0.0,200,linear,0.9999999999999997,0.0,3.7707133742515e-05,,3.1488794775214046e-05,0.9999999999999997,0.0
,,,0.21462274994701147,,0.9999999999999984,0.0,0.0,0.0,fp32,,0.0,0,0.0,300,linear,0.9999999999999984,0.0,1.4592836123483721e-05,,1.6895734006538987e-05,0.9999999999999984,0.0
,,,0.28407020797021687,,0.9999999999999977,0.0,0.0,0.0,fp32,,0.0,0,0.0,400,linear,0.9999999999999977,0.0,1.0048403055407107e-05,,1.0829294296854641e-05,0.9999999999999977,0.0
,,,0.35438570799306035,,0.9999999999999989,0.0,0.0,0.0,fp32,,0.0,0,0.0,500,linear,0.9999999999999989,0.0,6.795463377784472e-06,,7.489301424357109e-06,0.9999999999999989,0.0
,,,0.42783245793543756,,0.9999999999999982,0.0,0.0,0.0,fp32,,0.0,0,0.0,600,linear,0.9999999999999982,0.0,6.0982551985944156e-06,,5.608972969639581e-06,0.9999999999999982,0.0
,,,0.49946295795962214,,0.9999999999999987,0.0,0.0,0.0,fp32,,0.0,0,0.0,700,linear,0.9999999999999987,0.0,3.2511679819435813e-06,,4.725325652543688e-06,0.9999999999999987,0.0
,,,0.5677120408508927,,0.9999999999999986,0.0,0.0,0.0,fp32,,0.0,0,0.0,800,linear,0.9999999999999986,0.0,3.440310820224113e-06,,3.2531011129321996e-06,0.9999999999999986,0.0
,,,0.6378917498514056,,0.9999999999999986,0.0,0.0,0.0,fp32,,0.0,0,0.0,900,linear,0.9999999999999986,0.0,2.0307491013227263e-06,,2.60751357927802e-06,0.9999999999999986,0.0
,,,0.707956749945879,,0.9999999999999978,0.0,0.0,0.0,fp32,,0.0,0,0.0,1000,linear,0.9999999999999978,0.0,2.0013444554933812e-06,,2.0082688934053294e-06,0.9999999999999978,0.0
,,,0.7760057910345495,,0.9999999999999991,0.0,0.0,0.0,fp32,,0.0,0,0.0,1100,linear,0.9999999999999991,0.0,2.030822315646219e-06,,1.6409987892984645e-06,0.9999999999999991,0.0
,,,0.8581488330382854,,0.9999999999999986,0.0,0.0,0.0,fp32,,0.0,0,0.0,1200,linear,0.9999999999999986,0.0,1.2585528565978166e-06,,1.4193043398336158e-06,0.9999999999999986,0.0
,,,0.9416714580729604,,0.9999999999999989,0.0,0.0,0.0,fp32,,0.0,0,0.0,1300,linear,0.9999999999999989,0.0,1.1851751651192899e-06,,1.2796330111086718e-06,0.9999999999999989,0.0
,,,1.0196886658668518,,0.999999999999998,0.0,0.0,0.0,fp32,,0.0,0,0.0,1400,linear,0.999999999999998,0.0,1.0965156889142236e-06,,1.0035839750344167e-06,0.999999999999998,0.0
,,,1.0903444159775972,,0.9999999999999984,0.0,0.0,0.0,fp32,,0.0,0,0.0,1500,linear,0.9999999999999984,0.0,1.0220779813607805e-06,,9.33606031594536e-07,0.9999999999999984,0.0
,,,1.1696720409672707,,0.9999999999999991,0.0,0.0,0.0,fp32,,0.0,0,0.0,1600,linear,0.9999999999999991,0.0,8.395779786951607e-07,,7.431599442497827e-07,0.9999999999999991,0.0
,,,1.2624488328583539,,0.9999999999999989,0.0,0.0,0.0,fp32,,0.0,0,0.0,1700,linear,0.9999999999999989,0.0,9.472031479162979e-07,,6.55484427625197e-07,0.9999999999999989,0.0
,,,1.3537624578457326,,0.9999999999999979,0.0,0.0,0.0,fp32,,0.0,0,0.0,1800,linear,0.9999999999999979,0.0,5.176489139557816e-07,,7.560650487903331e-07,0.9999999999999979,0.0
,,,1.4283891660161316,,0.9999999999999992,0.0,0.0,0.0,fp32,,0.0,0,0.0,1900,linear,0.9999999999999992,0.0,4.033718710161338e-07,,6.294651484495262e-07,0.9999999999999992,0.0
,,,1.5000384158920497,,0.9999999999999984,0.0,0.0,0.0,fp32,,0.0,0,0.0,2000,linear,0.9999999999999984,0.0,6.915431640663883e-07,,5.66776634514099e-07,0.9999999999999984,0.0
,,,0.0027076248079538345,,,,,0.0,fixed-e4m3,,0.0,0,0.0,0,linear,,,,,0.001187952235341072,,0.00040164857637137175
,,,0.42479145782999694,,0.9995405233235591,1.4163764827805503e-10,0.00010432968179447053,0.0,fixed-e4m3,,0.0,0,0.0,100,linear,-0.9044997953619021,6.05228318305144e-07,9.949458763003349e-05,,8.73847384355031e-05,-0.9047028731620633,0.00015122535114642233
,,,0.924079124815762,,0.9996176866531339,2.0678245548068466e-11,0.0,0.0,fixed-e4m3,,0.0,0,0.0,200,linear,0.14129039706422664,9.371962364066083e-07,4.7252837248379365e-05,,4.3917436414631084e-05,0.14027585421419858,0.00018320269009564072
,,,1.3836174998432398,,0.9995812927920922,8.437879567092165e-13,0.00010432968179447053,0.0,fixed-e4m3,,0.0,0,0.0,300,linear,-0.8509255995340678,9.59319932775382e-07,1.2544793207780458e-05,,1.6876243535079993e-05,-0.8513674675612934,0.000223316194023937
,,,1.8173754999879748,,0.999616621203221,3.144478775722332e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,400,linear,-0.8606049504097404,7.685471762519017e-07,9.39774872676935e-06,,1.0166446372750215e-05,-0.8615410057739862,0.00015333267219830304
,,,2.211607832927257,,0.9996761129355568,1.7746907340305797e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,500,linear,-0.9797888419644188,6.663064906121891e-07,7.359191386058228e-06,,8.103052095975727e-06,-0.9799887462064762,0.00013506709365174174
,,,2.622701874934137,,0.999610689742279,2.6803302561046175e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,600,linear,-0.6166533525745351,4.2761798460299985e-07,6.05092918704031e-06,,5.473254987009568e-06,-0.6182654009842183,0.00010772825771709904
,,,3.276906249811873,,0.9996663453232506,3.4583399575064108e-12,0.00010432968179447053,0.0,fixed-e4m3,,0.0,0,0.0,700,linear,-0.4385989642207661,4.123997324931202e-07,4.594850452122046e-06,,4.508351594267879e-06,-0.439620673287345,0.00012018494453513995
,,,3.83976929099299,,0.9997926335983226,1.6244977014124178e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,800,linear,0.8599153582876892,5.783169580804311e-07,3.9174715311673936e-06,,3.837430085695814e-06,0.8619934761531992,0.00014109975018072873
,,,4.317651415942237,,0.9997181834812854,2.0602478573478306e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,900,linear,-0.9682618696246126,4.014968466349179e-07,2.621549356263131e-06,,7.569812623842154e-06,-0.9686340396179768,8.525638259015977e-05
,,,4.7861597498413175,,0.9996377369127321,1.727002304068274e-11,0.00010432968179447053,0.0,fixed-e4m3,,0.0,0,0.0,1000,linear,-0.9368146588369979,3.5441770612805016e-07,6.333954843285028e-06,,2.867005377993337e-06,-0.937777551774344,0.00011031730537069961
,,,5.281930249882862,,0.9996730146948688,5.780757396874433e-12,0.00020865936358894105,0.0,fixed-e4m3,,0.0,0,0.0,1100,linear,0.93053131723324,4.324381398753558e-07,3.707711584866047e-06,,1.3800432498101145e-05,0.9326171869588966,0.00016406782378908247
,,,5.84323462494649,,0.9997104616086081,3.604768778801152e-12,0.00020865936358894105,0.0,fixed-e4m3,,0.0,0,0.0,1200,linear,-0.8031028535150925,4.32936783507406e-07,4.453580913832411e-06,,1.0173994269280229e-05,-0.8021523120000824,0.00012068673822795972
,,,6.336810249835253,,0.9997024927867035,1.088516582099186e-12,0.00010432968179447053,0.0,fixed-e4m3,,0.0,0,0.0,1300,linear,0.9890018972858832,5.50842222374429e-07,1.5192230193861178e-06,,2.5547162749717245e-06,0.9888201741832583,0.0001245158928213641
,,,6.774941707961261,,0.9997202674374749,1.369567196816111e-11,0.00031298904538341156,0.0,fixed-e4m3,,0.0,0,0.0,1400,linear,0.9806658466720624,5.307360630865261e-07,5.3461608331417665e-06,,2.341777417314006e-06,0.9816518741882031,0.0001495179458288476
,,,7.243469374952838,,0.9997310866113978,3.3121067661333727e-13,0.0,0.0,fixed-e4m3,,0.0,0,0.0,1500,linear,0.18019316812848707,6.054478337080223e-07,1.817073098209221e-06,,2.4661294446559623e-06,0.1803784016279919,0.00011775466555263847
,,,7.839320165803656,,0.9995661784840097,4.861385729919568e-12,0.00020865936358894105,0.0,fixed-e4m3,,0.0,0,0.0,1600,linear,0.9543960036383419,6.08589611350868e-07,2.161787051591091e-06,,1.6061319456639467e-06,0.9530155188459988,0.00013198127271607518
,,,8.504642250016332,,0.9994678656069017,2.2709211217998518e-13,0.00020865936358894105,0.0,fixed-e4m3,,0.0,0,0.0,1700,linear,0.11269609525782578,7.638777119953457e-07,8.599861303082434e-07,,1.849229875006131e-06,0.11530428790227067,0.00015229986456688493
,,,9.11817054101266,,0.9996771747826193,8.868998810412783e-13,0.0,0.0,fixed-e4m3,,0.0,0,0.0,1800,linear,0.9643193384556997,7.616076856695395e-07,8.013242336346593e-07,,1.0556180995990871e-06,0.9649062927679833,0.00015413312939926982
,,,9.753930083010346,,0.9996605528693107,2.7269141746832884e-11,0.00031298904538341156,0.0,fixed-e4m3,,0.0,0,0.0,1900,linear,0.9712245242447226,7.779165414801372e-07,8.750097549636848e-06,,8.80606705777609e-07,0.971324932549009,0.00018868810730054975
,,,10.323738874867558,,0.9997532809267553,8.391116878613806e-12,0.0,0.0,fixed-e4m3,,0.0,0,0.0,2000,linear,-0.9432570885402115,7.581303211056491e-07,4.074229764228221e-06,,7.515487141063204e-06,-0.9450060743579758,0.00014830620784778148
,,,0.002753125037997961,,,,,0.0,fixed-e5m2,,0.0,0,0.0,0,linear,,,,,0.0014626289485022426,,0.0015213117003440857
,,,0.5649724998511374,,0.9984370952442323,7.20177822333496e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,100,linear,0.21289406536010827,4.9097092807733e-06,8.899558451958e-05,,7.635326619492844e-05,0.21294372702217193,0.0020381358917802572
,,,1.1496592499315739,,0.9984942447489557,7.337533419239135e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,200,linear,-0.6311174677220461,6.531943219015761e-06,3.644453681772575e-05,,3.255232877563685e-05,-0.6267270770251918,0.002573836361989379
,,,1.6705849168356508,,0.9988038163693762,1.8974220812114106e-10,0.0,0.0,fixed-e5m2,,0.0,0,0.0,300,linear,-0.5283688610452578,6.9831691144225634e-06,2.9639219064847566e-05,,2.1903339074924588e-05,-0.5293554341371212,0.0022958354093134403
,,,2.3067145838867873,,0.998552356001974,1.7192802908423313e-10,0.0,0.0,fixed-e5m2,,0.0,0,0.0,400,linear,0.8140579460611674,9.480569336213696e-06,1.8125530914403498e-05,,1.4574820852431003e-05,0.811643561752312,0.0024345042183995247
,,,2.778100333875045,,0.9988945616868551,6.1047868579295005e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,500,linear,0.5512796086149987,7.4328504407951295e-06,6.166319508338347e-06,,7.800701496307738e-06,0.5557455329905205,0.0021934821270406246
,,,3.260195625014603,,0.9986251472986194,1.1143614097315117e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,600,linear,-0.9696821991264193,6.390316544567473e-06,6.600377673748881e-06,,6.051775017112959e-06,-0.9719905787842402,0.002087939064949751
,,,3.939342249883339,,0.9982550323870769,3.528817672956725e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,700,linear,-0.3499242166603312,3.4452296070820724e-06,4.085289674549131e-06,,1.2450222129700705e-05,-0.3426528342297904,0.0017977635143324733
,,,4.555426458828151,,0.9990631766203492,2.0393839895013453e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,800,linear,0.42383083516038506,5.106777067227444e-06,3.3581254683667794e-06,,1.2677826816798188e-05,0.4207233121625405,0.0019252484198659658
,,,5.046513834036887,,0.998265220373778,3.37903362351894e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,900,linear,0.7468439931460045,4.0959741560828645e-06,4.576047558657592e-06,,3.7822176182089606e-06,0.7499146510340732,0.0017155591631308198
,,,5.507077042013407,,0.9986973998798886,8.514185313840224e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1000,linear,-0.6301084928705886,4.124666501677194e-06,7.104199994500959e-06,,6.128260338300606e-06,-0.6363483928630902,0.0019380910089239478
,,,5.993382083950564,,0.99861774361768,2.5700526737336157e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1100,linear,0.5469491818734955,6.709083482955643e-06,3.433414804021595e-06,,2.3908380626380676e-06,0.5450556020289381,0.0019329333445057273
,,,6.545818499987945,,0.9988973689806251,5.2017888727679645e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1200,linear,0.858789523498953,5.943433071883247e-06,1.810398089219234e-06,,1.4312831808638293e-06,0.8591622371861385,0.0019115100149065256
,,,7.015537959057838,,0.9986587562160667,9.287197388805301e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1300,linear,-0.5928239072410634,5.712738538210643e-06,1.5091873137862422e-06,,2.3282491383724846e-06,-0.594434855903321,0.0018239542841911316
,,,7.450163124827668,,0.9988073349816216,7.369178826209611e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1400,linear,0.7149401256732092,6.744940957335852e-06,6.448247404478025e-06,,1.2337883390500792e-06,0.7156705154570141,0.0021561812609434128
,,,7.919560416834429,,0.9985356258677642,1.5297795867896447e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1500,linear,0.42297510206801353,5.231260103845045e-06,2.464770886945189e-06,,1.1148028988827718e-06,0.42576826842833293,0.0019983563106507063
,,,8.364224042044953,,0.9987122075000328,2.782839639495659e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1600,linear,0.14146367842443083,4.587397025433921e-06,3.580675183911808e-06,,1.3002584637433756e-05,0.13234134894134436,0.0019157982897013426
,,,8.800344083923846,,0.998358016201016,2.49951829692014e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1700,linear,0.879918996862613,3.785807381862757e-06,9.923346624418627e-07,,1.066321829057415e-06,0.8826657927998779,0.0018064901232719421
,,,9.202197291888297,,0.998647239660878,2.3119374190884454e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1800,linear,-0.7054601000837472,5.470300003126772e-06,2.2305064248939743e-06,,1.6795195278973551e-06,-0.7070999286951564,0.0017509169410914183
,,,9.63313225004822,,0.9984879368893395,8.807341843469218e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,1900,linear,-0.5087282717502152,4.702909275786045e-06,5.891377441002987e-06,,5.121504273120081e-06,-0.5220585460441797,0.0016559981741011143
,,,10.134691749932244,,0.9987998170165301,1.3180240675717444e-12,0.0,0.0,fixed-e5m2,,0.0,0,0.0,2000,linear,0.6709757178689842,5.356579588485583e-06,9.750879144121427e-07,,1.2806476661353372e-06,0.6656558628601064,0.0015039429999887943
,,,0.003141457913443446,,,,,0.0,fixed-hybrid,,0.0,0,0.0,0,linear,,,,,0.001187952235341072,,0.00040164857637137175
,,,0.5475344159640372,,0.9986185454843114,1.1093740819114785e-10,0.0,0.0,fixed-hybrid,,0.0,0,0.0,100,linear,-0.37524067717003534,9.951532268807114e-08,7.856974116293713e-05,,6.25320608378388e-05,-0.3719739124628569,6.740919343428686e-05
