family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
tanh,6.768728733062744,-1.874259352684021,0.031220671410361927,2.014991343021393,0.8186786572138468,fixed-e4m3,0.17203776041666666,0.4699300130208333,0.00015959852801946303,,0,0.009765625,2000,plateau
silu,3.9525344371795654,-1.2577224373817444,0.0006185260911782583,1.343751887480418,0.5110950767993927,fixed-e4m3,0.22908528645833334,0.50048828125,7.274277838102232e-05,,0,0.0020751953125,2000,plateau
relu,1.2707246541976929,-0.6999134023984274,0.05479918544491132,0.8976643681526184,0.5659586588541666,fixed-e5m2,0.19258626302083334,0.4340413411458333,0.0004761915188282728,0.0169677734375,0,0.4340413411458333,0,plateau
tanh,1.6320236921310425,-0.7630764444669088,0.027719652901093166,0.7802804708480835,0.9116568565368652,fixed-e5m2,0.2622884114583333,0.4591064453125,0.00042946078853371244,,0,0.0,0,plateau
silu,1.1493862867355347,-0.7681589523951212,-0.019862706462542217,0.762998104095459,0.49797308444976807,fixed-e5m2,0.2738850911458333,0.5260009765625,0.00020540726109175012,,0,0.0,0,plateau
relu,3.125702142715454,-1.38518488407135,0.01750176027417183,1.7840666770935059,0.5036214192708334,fixed-e5m2,0.118896484375,0.4963785807291667,0.000569061710848473,0.010172526041666666,0,0.4963785807291667,2000,plateau
tanh,6.701180934906006,-1.8521978855133057,0.030531485254565876,1.9860609571139018,0.8272640307744344,fixed-e5m2,0.18611653645833334,0.4717610677083333,0.0005420954839792103,,0,0.009033203125,2000,plateau
silu,3.8304781913757324,-1.189624031384786,-0.011048264801502228,1.2864208022753398,0.5088689923286438,fixed-e5m2,0.24373372395833334,0.509033203125,0.00030622808359718573,,0,0.0018717447916666667,2000,plateau
relu,1.2296594381332397,-0.7078060706456503,0.05013213182489077,0.8924315969149271,0.5620930989583334,fixed-hybrid,0.1904296875,0.4379069010416667,8.38836397936878e-05,0.007486979166666667,0,0.4379069010416667,0,plateau
tanh,1.6581021547317505,-0.7670306166013082,0.024814489918450516,0.7864467899004618,0.9121525486310323,fixed-hybrid,0.2571207682291667,0.46435546875,0.00014765941159566864,,0,0.0,0,plateau
