arrays_that_changed,clipped_count,e3m4_element_fraction,e3m4_final_arrays,e3m4_initial_arrays,e4m3_element_fraction,e4m3_final_arrays,e4m3_initial_arrays,e5m2_element_fraction,e5m2_final_arrays,e5m2_initial_arrays,format_switches,kind,mean_squared_rounding_error,mode,quantized_elements,reselection_opportunities,scale_max,scale_min,seed,target,zeroed_fraction
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.9773605028840796e-06,adaptive,19170000,304,0.0625,0.00048828125,0,plateau,0.0009669274908711529
1,0,0.9999321857068336,16,15,6.781429316640584e-05,0,1,0.0,0,0,9,gradient,2.0819156723224914e-10,adaptive,19170000,304,0.015625,2.9802322387695312e-08,0,plateau,0.017322326551904018
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.68873632992105e-06,fixed-e4m3,19170000,0,0.001953125,0.00048828125,0,detail,5.738132498695879e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,3.79359030382844e-08,fixed-e4m3,19170000,0,0.00390625,1.4901161193847656e-08,0,detail,0.00010359937402190924
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.899492217038606e-05,fixed-e5m2,19170000,0,1.52587890625e-05,3.814697265625e-06,0,detail,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.6722090134913618e-07,fixed-e5m2,19170000,0,3.0517578125e-05,3.637978807091713e-12,0,detail,6.259780907668231e-07
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.641115774897544e-06,fixed-hybrid,19170000,0,0.001953125,0.00048828125,0,detail,5.738132498695879e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.463605783947454e-07,fixed-hybrid,19170000,0,3.0517578125e-05,2.3283064365386963e-10,0,detail,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.4118833502439172e-06,calibrated,19170000,0,0.0625,0.015625,0,detail,0.001251434533124674
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,gradient,9.839939372905586e-09,calibrated,19170000,0,0.0625,1.1920928955078125e-07,0,detail,0.017127230046948355
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.400126282940631e-06,adaptive,19170000,304,0.0625,0.015625,0,detail,0.0011423056859676578
1,0,0.9999478351591028,16,15,5.2164840897235264e-05,0,1,0.0,0,0,9,gradient,9.21281323643017e-09,adaptive,19170000,304,0.0625,2.384185791015625e-07,0,detail,0.01587657798643714
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.610699196888146e-06,fixed-e4m3,19170000,0,0.001953125,0.00048828125,0,bump,6.885758998435055e-06
