gain,control,metric,ratio_of_means,wins,ties,losses,ratio_seed_10,ratio_seed_11,ratio_seed_12,ratio_seed_13,ratio_seed_14
1.0,fp32,validation_mse,15.213568082319073,0,0,5,24.810067448265414,21.69014379351637,18.152939692591172,9.901098997142045,5.558187106533884
1.0,fp32,detail_component_relative_mse,7.447981549347489,0,0,5,3.01672225446084,7.028968038741565,21.206418487098833,4.185693547943054,4.536942423470559
1.0,fixed-e3m4,validation_mse,1.377843502600758,1,1,3,2.09031469480798,1.1851386930585068,1.6514978611894342,1.0,0.708315924456164
1.0,fixed-e3m4,detail_component_relative_mse,1.2027762088717835,3,1,1,0.5977317100600874,0.654514166116175,2.4592812268665902,1.0,0.9082233687030621
1.0,fixed-e4m3,validation_mse,0.15635369320121392,5,0,0,0.07923979287547507,0.5793156951561906,0.2811586006521149,0.3474299939508209,0.41544818254607346
1.0,fixed-e4m3,detail_component_relative_mse,0.30553136956172816,4,0,1,0.04309530844723652,0.9334457297038902,1.6519337335627062,0.30267842989451943,0.5503967955845822
1.0,fixed-e5m2,validation_mse,0.19531358641532107,5,0,0,0.6968610433289015,0.146969758145271,0.182947178405444,0.13069381085022616,0.08132987523067953
1.0,fixed-e5m2,detail_component_relative_mse,0.16940896802029623,5,0,0,0.11251200574335923,0.07309254700721571,0.31677968047049626,0.12380545739709038,0.1713868959092964
1.0,fixed-hybrid,validation_mse,0.3196551664890518,5,0,0,0.6526495127626802,0.3017570715808067,0.3001408834562063,0.24972438791550983,0.134144810586966
1.0,fixed-hybrid,detail_component_relative_mse,0.33280294397611504,4,0,1,0.08989412952071944,1.097835242015533,0.5418972767198801,0.25719713795192994,0.3486520975737533
1.0,calibrated,validation_mse,1.2017139525295788,1,1,3,4.018146285767973,0.4261151683550137,1.8750021880203842,1.0,1.0747053010142185
1.0,calibrated,detail_component_relative_mse,1.13141427039421,2,1,2,0.7174217074440387,0.27820159929286786,4.025628884881762,1.0,1.6652978026639487
4.0,fp32,validation_mse,9.253234111308256,0,0,5,11.28911988918066,14.61681900383794,8.079636837187401,7.159990765173746,7.609269553887397
4.0,fp32,detail_component_relative_mse,5.309047921136129,0,0,5,3.5525131596894455,10.537268658251183,7.09342125737251,4.202954721098178,3.3356325253513326
4.0,fixed-e3m4,validation_mse,0.937815829813468,2,0,3,1.8408218571116985,1.3059321843220535,0.4151854919421832,0.8763520925781336,1.1064887857597812
4.0,fixed-e3m4,detail_component_relative_mse,0.9067260297633953,3,0,2,1.2261792173680497,1.2467643369741508,0.9747738530910184,0.6108205903637318,0.72512564967325
4.0,fixed-e4m3,validation_mse,0.5750927644803705,4,0,1,0.5363484549927652,1.13274513202363,0.7625036516962519,0.57902563344228,0.3444176586730044
4.0,fixed-e4m3,detail_component_relative_mse,0.6398624966979549,3,0,2,0.27402672657410077,1.9824303113494866,1.0910095637094366,0.923985828562067,0.29809789792694014
4.0,fixed-e5m2,validation_mse,0.4246681910978515,5,0,0,0.26259774118921825,0.6306845877236438,0.44398126286237594,0.5400045366740629,0.44055380632769137
4.0,fixed-e5m2,detail_component_relative_mse,0.429000812098958,5,0,0,0.18590489705388769,0.6537071622809865,0.5119299597199086,0.5992946360467676,0.36167511509499617
4.0,fixed-hybrid,validation_mse,0.5143554802428524,4,0,1,1.3324340681257911,0.23901375154680946,0.5131905136704212,0.7186365254095974,0.8456693239879873
4.0,fixed-hybrid,detail_component_relative_mse,0.7469097116019656,5,0,0,0.8738411548478228,0.8408906509836666,0.5437578810696723,0.7582226065221912,0.9513018278946548
4.0,calibrated,validation_mse,1.207416829827459,1,0,4,2.187199337080454,1.2888847552017562,1.084119021431491,0.8763520925781336,1.1064887857597812
4.0,calibrated,detail_component_relative_mse,0.9037488037994,3,0,2,0.8148689965098779,1.0018602760215345,1.704044010362481,0.6108205903637318,0.72512564967325
