detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
-0.04324006661772728,0.05324006661772728,55.219821986957754,0.0036375001072883606,1.0,0.0,,,,0.0,fp32,0.0,10,0.0,0,detail,,,,0.0,0.005454347934573889,,0.0
0.009482862427830696,0.0005171375721693041,1.2622972914880057,0.32879004208371043,1.0,0.0005643330514431,0.9999999999999983,0.0,0.0,0.0,fp32,0.0,10,0.0,500,detail,0.9999999999999983,0.0,6.169451080495492e-05,0.3170904505532235,8.471980254398659e-05,0.9999999999999983,0.0
0.009684140793979168,0.00031585920602083227,0.5216805652917869,0.6468666249420494,1.0,0.0009497492574155331,0.999999999999999,0.0,0.0,0.0,fp32,0.0,10,0.0,1000,detail,0.999999999999999,0.0,2.2632353648077697e-05,0.6271678728517145,3.338685928611085e-05,0.999999999999999,0.0
0.01024050172418356,0.0002405017241835592,0.3201596727197114,0.9619225419592112,1.0,0.0013955824542790651,0.9999999999999963,0.0,0.0,0.0,fp32,0.0,10,0.0,1500,detail,0.9999999999999963,0.0,2.0363560906844214e-05,0.9341747025027871,2.0781239072675817e-05,0.9999999999999963,0.0
0.00892689824104309,0.0010731017589569094,0.24116754659718426,1.2787141669541597,1.0,0.0018250413704663515,0.999999999999996,0.0,0.0,0.0,fp32,0.0,10,0.0,2000,detail,0.999999999999996,0.0,1.7361784557579085e-05,1.2423381723929197,1.4314770851342473e-05,0.999999999999996,0.0
0.010089236311614513,8.923631161451319e-05,0.16764185419737399,1.5878149589989334,1.0,0.0022053741849958897,0.9999999999999983,0.0,0.0,0.0,fp32,0.0,10,0.0,2500,detail,0.9999999999999983,0.0,1.7263577319681644e-05,1.543346224585548,2.452652552165091e-05,0.9999999999999983,0.0
0.010243967175483704,0.0002439671754837034,0.13918398840470422,1.9154766669962555,1.0,0.002585833193734288,0.9999999999999963,0.0,0.0,0.0,fp32,0.0,10,0.0,3000,detail,0.9999999999999963,0.0,6.710125035169767e-06,1.8628636801149696,1.2373498066153843e-05,0.9999999999999963,0.0
0.0097960839048028,0.00020391609519720098,0.09760482468096071,2.236946834018454,1.0,0.00296299927867949,0.9999999999999962,0.0,0.0,0.0,fp32,0.0,10,0.0,3500,detail,0.9999999999999962,0.0,9.290935850003734e-06,2.176215849816799,7.728417585894931e-06,0.9999999999999962,0.0
0.009887523017823696,0.00011247698217630407,0.07731225253365727,2.5613792499061674,1.0,0.003335708286613226,0.9999999999999977,0.0,0.0,0.0,fp32,0.0,10,0.0,4000,detail,0.9999999999999977,0.0,6.728611424478004e-06,2.4924651554320008,7.3129240263369866e-06,0.9999999999999977,0.0
0.010156217962503433,0.00015621796250343302,0.06812534196016869,2.890112250111997,1.0,0.003705583279952407,0.9999999999999972,0.0,0.0,0.0,fp32,0.0,10,0.0,4500,detail,0.9999999999999972,0.0,5.277969648886938e-06,2.8130020280368626,6.8795529841736425e-06,0.9999999999999972,0.0
0.010225978679955006,0.00022597867995500544,0.12820741174287453,3.2000573750119656,1.0,0.004085208289325237,0.9999999999999968,0.0,0.0,0.0,fp32,0.0,10,0.0,5000,detail,0.9999999999999968,0.0,3.108957753283903e-05,3.1146662968676537,5.313421934260987e-05,0.9999999999999968,0.0
0.008261827751994133,0.0017381722480058672,0.11244410549865388,3.5371631251182407,1.0,0.004625208443030715,0.9999999999999963,0.0,0.0,0.0,fp32,0.0,10,0.0,5500,detail,0.9999999999999963,0.0,2.0053357729921117e-05,3.443455637898296,1.2772956324624829e-05,0.9999999999999963,0.0
0.009574520401656628,0.00042547959834337255,0.060549958860868634,3.8630096670240164,1.0,0.0050088753923773766,0.999999999999998,0.0,0.0,0.0,fp32,0.0,10,0.0,6000,detail,0.999999999999998,0.0,9.743676855578087e-06,3.7605076138861477,7.150206783990143e-06,0.999999999999998,0.0
0.013305051252245903,0.003305051252245903,0.2405575777188071,4.1920083339791745,1.0,0.005415708292275667,0.9999999999999964,0.0,0.0,0.0,fp32,0.0,10,0.0,6500,detail,0.9999999999999964,0.0,2.0253299226169474e-05,4.0802011815831065,2.6864037863560952e-05,0.9999999999999964,0.0
0.009825171902775764,0.00017482809722423574,0.07286856513727079,4.51505095907487,1.0,0.005813750205561519,0.9999999999999978,0.0,0.0,0.0,fp32,0.0,10,0.0,7000,detail,0.9999999999999978,0.0,1.3986455996928271e-05,4.394965470768511,1.3648535968968645e-05,0.9999999999999978,0.0
0.010020076297223568,2.0076297223567754e-05,0.058707831876410196,4.830316792009398,1.0,0.006182875018566847,0.999999999999996,0.0,0.0,0.0,fp32,0.0,10,0.0,7500,detail,0.999999999999996,0.0,2.5292443751823157e-05,4.701740947319195,7.576496500405483e-06,0.999999999999996,0.0
0.009240570478141308,0.0007594295218586924,0.03212136379111729,5.1434192499145865,1.0,0.006560625042766333,0.9999999999999968,0.0,0.0,0.0,fp32,0.0,10,0.0,8000,detail,0.9999999999999968,0.0,8.777225957601331e-06,5.006631032563746,6.174423560878495e-06,0.9999999999999968,0.0
0.009978215210139751,2.1784789860248774e-05,0.01974711208890018,5.454791834112257,1.0,0.006942291045561433,0.9999999999999963,0.0,0.0,0.0,fp32,0.0,10,0.0,8500,detail,0.9999999999999963,0.0,1.9063177205680404e-06,5.310225532390177,2.3653742573515046e-06,0.9999999999999963,0.0
0.010402350686490536,0.00040235068649053553,0.032773417081211814,5.76372745889239,1.0,0.007330791093409061,0.9999999999999979,0.0,0.0,0.0,fp32,0.0,10,0.0,9000,detail,0.9999999999999979,0.0,3.6272201668907655e-06,5.611266752006486,5.398629127739696e-06,0.9999999999999979,0.0
0.009736577048897743,0.000263422951102257,0.022950743887540502,6.074091499904171,1.0,0.0077047080267220736,0.9999999999999979,0.0,0.0,0.0,fp32,0.0,10,0.0,9500,detail,0.9999999999999979,0.0,1.5031905604701024e-06,5.913691743509844,2.1547737105720444e-06,0.9999999999999979,0.0
0.01051055546849966,0.0005105554684996603,0.020989010665893693,6.384496625047177,1.0,0.008083040826022625,0.9999999999999972,0.0,0.0,0.0,fp32,0.0,10,0.0,10000,detail,0.9999999999999972,0.0,7.576885764137842e-06,6.216012414777651,4.985104169463739e-06,0.9999999999999972,0.0
0.009628591127693653,0.0003714088723063471,0.026302176818696284,6.710063583916053,1.0,0.00848174886777997,0.9999999999999961,0.0,0.0,0.0,fp32,0.0,10,0.0,10500,detail,0.9999999999999961,0.0,2.9503569294320187e-06,6.527899560285732,2.537162572480156e-06,0.9999999999999961,0.0
0.009636742062866688,0.00036325793713331243,0.03306453335048176,7.02092649997212,1.0,0.008870415855199099,0.999999999999997,0.0,0.0,0.0,fp32,0.0,10,0.0,11000,detail,0.999999999999997,0.0,2.0033915006933967e-06,6.830872305901721,2.781493549264269e-06,0.999999999999997,0.0
0.010098733939230442,9.873393923044184e-05,0.009630447781672775,7.330668000038713,1.0,0.00926129100844264,0.9999999999999957,0.0,0.0,0.0,fp32,0.0,10,0.0,11500,detail,0.9999999999999957,0.0,1.5620231579305255e-06,7.132585980463773,9.034076811076375e-07,0.9999999999999957,0.0
0.010008536279201508,8.53627920150736e-06,0.00895390985445903,7.640361750032753,1.0,0.009639041032642126,0.9999999999999972,0.0,0.0,0.0,fp32,0.0,10,0.0,12000,detail,0.9999999999999972,0.0,1.2583320767589612e-06,7.4342756231781095,1.3313085673871683e-06,0.9999999999999972,0.0
0.01020599715411663,0.00020599715411663035,0.02593915118056778,7.9514687499031425,1.0,0.010028500109910965,0.9999999999999972,0.0,0.0,0.0,fp32,0.0,10,0.0,12500,detail,0.9999999999999972,0.0,2.2981985239312053e-06,7.7371828043833375,1.7871028603622108e-06,0.9999999999999972,0.0
0.010217562317848206,0.00021756231784820536,0.006619500718666635,8.260224374942482,1.0,0.010399291990324855,0.9999999999999983,0.0,0.0,0.0,fp32,0.0,10,0.0,13000,detail,0.9999999999999983,0.0,7.062103577482048e-07,8.03809805214405,4.827423936148989e-07,0.9999999999999983,0.0
0.009722231887280941,0.0002777681127190592,0.008330183327982618,8.57029979210347,1.0,0.01083649997599423,0.9999999999999989,0.0,0.0,0.0,fp32,0.0,10,0.0,13500,detail,0.9999999999999989,0.0,1.3831411251885584e-06,8.34035342792049,9.874318038782803e-07,0.9999999999999989,0.0
