confirmation_step,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,ever_sustained,final_three_pass,first_crossing_step,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
9500,0.009573560208082199,0.0004264397919178011,0.07150922022840701,68.17977933306247,True,True,8500,4.0,0.020556914852932096,0.9988067486467583,4.998080574542452e-11,0.0,0.0,fixed-hybrid,0.0,11,0.0,20000,detail,-0.8005603140232228,1.7908365610352438e-07,1.45632766361814e-05,67.24821714195423,1.9932558643631637e-05,-0.7979101027649546,0.0001959855726454407
8500,0.009822331368923187,0.00017766863107681295,0.06001978138906374,69.29406879190356,True,True,7500,4.0,0.020555669208988547,0.9998851694377372,3.195197292073898e-13,0.03713974447855799,0.006398082943633199,calibrated,0.0,11,0.006398082943633199,20000,detail,-0.4717616852487673,2.344421942583813e-08,3.506958137222682e-06,68.38016480603255,3.6963394904887537e-06,-0.4712392963129167,2.7800149837275967e-05
13000,0.00971134565770626,0.0002886543422937395,0.060131434749199554,68.57293941592798,True,True,12000,4.0,0.018339961767196655,0.999908251813029,2.615730691019718e-13,0.03476280083193028,0.006398082943633199,adaptive,1.160753122298047,11,1.1671512052416801,20000,detail,-0.11375514841721597,5.104046388960673e-08,5.378738933359273e-06,67.66732552764006,4.764155619341182e-06,-0.11257580319269894,3.990410914411768e-05
7000,0.010000361129641533,3.611296415326898e-07,0.0068552379088708685,14.24346762499772,True,True,6000,4.0,0.01678358274511993,0.9999999999999986,0.0,0.0,0.0,fp32,0.0,12,0.0,20000,detail,0.9999999999999986,0.0,3.021540635472775e-07,13.869157011155039,3.785733611039177e-07,0.9999999999999986,0.0
9500,0.010191105306148529,0.00019110530614852884,0.04988550949836566,67.3824666661676,True,True,8500,4.0,0.01960220537148416,0.9999295042150614,1.5232208771982993e-12,0.03525799742497772,0.0,fixed-e3m4,0.0,12,0.0,20000,detail,0.07252975193372341,1.4057936424629957e-08,6.8831814132863656e-06,66.42443977156654,7.367153557424899e-06,0.0718774041616072,2.261453482788056e-05
12000,0.010301993228495121,0.0003019932284951208,0.04457072781451906,69.00610841694288,True,True,11000,4.0,0.020123746944591403,0.9996672887755966,8.318229895169348e-13,0.0004951965930474399,0.0,fixed-e4m3,0.0,12,0.0,20000,detail,0.11988524287111152,1.0824987990698893e-07,3.375075493750046e-06,68.14139058673754,4.011436885775765e-06,0.12066177477333173,7.360891322605312e-05
10000,0.009183594025671482,0.0008164059743285181,0.09498777983952286,61.441668417071924,True,True,9000,4.0,0.018507039174437523,0.9990129176710587,3.29777222589604e-10,0.0,0.0,fixed-e5m2,0.0,12,0.0,20000,detail,0.9661991498376921,8.514988635244423e-08,8.24932794785127e-05,60.65558746946044,6.8893341449438594e-06,0.9672321106743024,0.00020583023433573544
10500,0.01208304800093174,0.0020830480009317396,0.08942783543931725,71.18360812496394,True,False,9500,4.0,0.020734626334160566,0.9988977023094867,8.989201212156507e-12,0.0,0.0,fixed-hybrid,0.0,12,0.0,20000,detail,0.26175069918354094,3.6254233526980846e-08,1.4932115846022498e-05,70.28678136738017,5.960233465884812e-06,0.26197144622389157,5.201238309382461e-05
9500,0.00968968216329813,0.00031031783670187017,0.02853628780208947,71.69110583304428,True,True,8500,4.0,0.022216961020603776,0.9999493535067229,4.689137285281485e-13,0.04476577201148856,0.0060002917889505625,calibrated,0.0,12,0.0060002917889505625,20000,detail,0.5023750863564067,6.898768472031325e-09,4.376443030196242e-06,70.72444070409983,2.821401722030714e-06,0.5011727924710129,1.3391281754593365e-05
10000,0.010524731129407883,0.0005247311294078825,0.04862709030713049,71.0182915830519,True,True,9000,4.0,0.02038112049922347,0.9998935082765461,2.401785213619971e-13,0.025155986926809943,0.0060002917889505625,adaptive,1.1802038096357137,12,1.1862041014246643,20000,detail,0.6976712670080479,2.431718593146906e-08,1.9498650090099545e-06,70.09753843070939,3.0587352739530616e-06,0.6995766404588947,3.575198570615612e-05
6500,0.010023525916039944,2.3525916039943487e-05,0.008766932106804907,16.91332787484862,True,True,5500,4.0,0.01902716769836843,0.999999999999999,0.0,0.0,0.0,fp32,0.0,13,0.0,20000,detail,0.999999999999999,0.0,4.364711969628843e-07,16.513110934989527,5.685064365934522e-07,0.999999999999999,0.0
8500,0.011615627445280552,0.0016156274452805517,0.06032379927778988,69.15343625005335,True,True,7500,4.0,0.02113987668417394,0.9999176620955789,8.816001450087858e-13,0.04684559770228781,0.0,fixed-e3m4,0.0,13,0.0,20000,detail,0.3446658542332347,7.920605768502946e-08,4.8637284635333344e-06,68.2459177474957,4.644823548005661e-06,0.3457944572801211,4.586758586810902e-05
12500,0.0100396191701293,3.9619170129298956e-05,0.03987833746886059,67.64167012507096,True,True,11500,4.0,0.02043028431944549,0.9996657431234872,3.285621813882654e-12,0.0005942359116569278,0.0,fixed-e4m3,0.0,13,0.0,20000,detail,-0.7463004716026902,6.743900259902846e-07,6.716209554724628e-06,66.72870722971857,7.029914740996901e-06,-0.7494274676498981,0.00030715236789546907
13500,0.009988993406295776,1.1006593704223841e-05,0.06148397878363025,70.29822237486951,True,True,12500,4.0,0.019704875303432345,0.9985586031673508,1.4103365430333e-11,0.0,0.0,fixed-e5m2,0.0,13,0.0,20000,detail,-0.9293184883739379,1.7384075026198988e-07,9.315581337432377e-06,69.38804667582735,7.537901183241047e-06,-0.9324512574863355,0.00011356218601576984
9000,0.0092019597068429,0.0007980402931571009,0.04859657094220978,70.18338229088113,True,True,8000,4.0,0.01995870703831315,0.998873720119535,3.9915996998966225e-12,0.0,0.0,fixed-hybrid,0.0,13,0.0,20000,detail,-0.7613399639796569,1.6099663101679582e-07,6.1391619965434074e-06,69.25348897068761,5.664199761667987e-06,-0.7632619994161303,8.482974953949451e-05
8500,0.011615627445280552,0.0016156274452805517,0.06032379927778988,63.0421348339878,True,True,7500,4.0,0.017785254400223494,0.9999176620955789,8.816001450087858e-13,0.04684559770228781,0.005632667103782296,calibrated,0.0,13,0.005632667103782296,20000,detail,0.3446658542332347,7.920605768502946e-08,4.8637284635333344e-06,62.25103766238317,4.644823548005661e-06,0.3457944572801211,4.586758586810902e-05
9000,0.010591955855488777,0.000591955855488777,0.036847018687842875,68.39293016679585,True,True,8000,4.0,0.019393750932067633,0.9999305309284162,2.684832797591733e-13,0.03981380608101416,0.005632667103782296,adaptive,1.1571218471508473,13,1.1627545142546296,20000,detail,-0.7788717614993902,3.455973604218614e-08,2.371741175011266e-06,67.44827509275638,4.070500835950952e-06,-0.7782564444153618,2.669197419891134e-05
7500,0.009966202080249786,3.379791975021383e-05,0.010132695156483454,12.258685916895047,True,True,6500,4.0,0.015851082978770137,0.9999999999999969,0.0,0.0,0.0,fp32,0.0,14,0.0,20000,detail,0.9999999999999969,0.0,5.191340051169391e-07,11.938004898838699,5.50918343833473e-07,0.9999999999999969,0.0
9500,0.01005576178431511,5.5761784315109045e-05,0.04661115980198234,65.71943125012331,True,True,8500,4.0,0.0211037490516901,0.9999224044648404,1.3759998582536677e-13,0.0213924928196494,0.0,fixed-e3m4,0.0,14,0.0,20000,detail,-0.2875309355826662,1.3143703542401784e-08,3.0152623367030174e-06,64.64269284461625,3.7886386508034775e-06,-0.2860575500389714,1.7315118384431116e-05
10000,0.011419686488807201,0.0014196864888072012,0.11338203915050683,53.5933221669402,True,True,9000,4.0,0.016073791775852442,0.9996493433175564,4.287344291535274e-12,0.00019807863721897593,0.0,fixed-e4m3,0.0,14,0.0,20000,detail,-0.16656081736588724,7.064792741423367e-07,7.90537797001889e-06,52.88740495615639,1.2171519301773515e-05,-0.16959837886200146,0.00016741563740652055
13000,0.009079729206860065,0.0009202707931399347,0.09345112816113604,59.271613041171804,True,True,12000,4.0,0.017475871834903955,0.9990103368688206,1.9555065471403413e-11,0.0,0.0,fixed-e5m2,0.0,14,0.0,20000,detail,-0.08358049694152875,8.30870916414426e-08,6.311393462965498e-06,58.469609796768054,9.515491910860874e-06,-0.0864079605286221,0.00010208579624304548
13000,0.010133150033652782,0.00013315003365278223,0.035529152307251684,53.01364554208703,True,True,12000,4.0,0.016880961135029793,0.9987896370130486,1.2508771716883991e-11,0.0,0.0,fixed-hybrid,0.0,14,0.0,20000,detail,0.6266762419163354,4.608926463514709e-08,7.189289590314729e-06,52.28267235867679,4.957122200721642e-06,0.6289517091812264,7.506798283429816e-05
9500,0.01005576178431511,5.5761784315109045e-05,0.04661115980198234,59.53088125004433,True,True,8500,4.0,0.01705050258897245,0.9999224044648404,1.3759998582536677e-13,0.0213924928196494,0.006132500013336539,calibrated,0.0,14,0.006132500013336539,20000,detail,-0.2875309355826662,1.3143703542401784e-08,3.0152623367030174e-06,58.636885372688994,3.7886386508034775e-06,-0.2860575500389714,1.7315118384431116e-05
