activation,family,gain,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step
4.relu,relu,1.0,1.048513412475586,-0.6996727585792542,0.010789730586111546,0.7141680121421814,0.51416015625,fp32,0.2608642578125,0.48583984375,0.0,0.0,10,0.48583984375,1500
4.tanh,tanh,1.0,0.9351128339767456,-0.7409892082214355,-0.031736548990011215,0.6555337309837341,0.91447514295578,fp32,0.225341796875,0.5345458984375,0.0,,10,0.0,1500
4.silu,silu,1.0,1.2246636152267456,-0.6834388971328735,-0.01842007413506508,0.7793720364570618,0.49627864360809326,fp32,0.23876953125,0.521484375,0.0,,10,0.0,1500
2.relu,relu,1.0,1.0597633123397827,-0.631837785243988,-0.005824759136885405,0.5697916746139526,0.4912109375,fp32,0.300537109375,0.5087890625,0.0,0.0,10,0.5087890625,2000
2.tanh,tanh,1.0,1.006744384765625,-0.6654600501060486,-0.013238497078418732,0.5850244760513306,0.9375700950622559,fp32,0.29150390625,0.5201416015625,0.0,,10,0.0,2000
2.silu,silu,1.0,0.8816134333610535,-0.5716610550880432,-0.004827321507036686,0.6307138204574585,0.5006239414215088,fp32,0.294189453125,0.5079345703125,0.0,,10,0.0,2000
3.relu,relu,1.0,1.0909234285354614,-0.6636194586753845,0.06488938629627228,0.7304703593254089,0.5765380859375,fp32,0.2352294921875,0.4234619140625,0.0,0.0,10,0.4234619140625,2000
3.tanh,tanh,1.0,0.9924288392066956,-0.665482223033905,-0.004805223550647497,0.6346478462219238,0.9257138967514038,fp32,0.2576904296875,0.50537109375,0.0,,10,0.0,2000
3.silu,silu,1.0,1.1273231506347656,-0.6232616305351257,-0.0058840736746788025,0.6781315207481384,0.5022489428520203,fp32,0.297119140625,0.5068359375,0.0,,10,0.0,2000
4.relu,relu,1.0,1.0469849109649658,-0.6998030543327332,0.00924035906791687,0.7052529454231262,0.512451171875,fp32,0.261474609375,0.487548828125,0.0,0.0,10,0.487548828125,2000
4.tanh,tanh,1.0,0.912149965763092,-0.731896162033081,-0.030616287142038345,0.653073251247406,0.9157859086990356,fp32,0.2255859375,0.5345458984375,0.0,,10,0.0,2000
4.silu,silu,1.0,1.2035746574401855,-0.676419734954834,-0.016987912356853485,0.7728591561317444,0.4967153072357178,fp32,0.2406005859375,0.51953125,0.0,,10,0.0,2000
2.relu,relu,1.0,1.0482432842254639,-0.6275444626808167,-0.006831217557191849,0.5693975687026978,0.4892578125,fp32,0.2996826171875,0.5107421875,0.0,0.0,10,0.5107421875,2500
2.tanh,tanh,1.0,1.0078926086425781,-0.6640325784683228,-0.012390527874231339,0.578620433807373,0.9382222890853882,fp32,0.2933349609375,0.519775390625,0.0,,10,0.0,2500
2.silu,silu,1.0,0.8838977813720703,-0.5692283511161804,-0.004795946180820465,0.6312240362167358,0.5007928609848022,fp32,0.2921142578125,0.50830078125,0.0,,10,0.0,2500
3.relu,relu,1.0,1.071738600730896,-0.6665571928024292,0.06494686007499695,0.7275859117507935,0.5767822265625,fp32,0.231689453125,0.4232177734375,0.0,0.0,10,0.4232177734375,2500
3.tanh,tanh,1.0,0.9752897024154663,-0.6587594747543335,-0.00359165808185935,0.6299558281898499,0.9270200729370117,fp32,0.259033203125,0.505615234375,0.0,,10,0.0,2500
3.silu,silu,1.0,1.1285264492034912,-0.6191017627716064,-0.0062186154536902905,0.6839233040809631,0.5024330615997314,fp32,0.2972412109375,0.5086669921875,0.0,,10,0.0,2500
4.relu,relu,1.0,1.0443142652511597,-0.699141800403595,0.009554065763950348,0.6983374953269958,0.511474609375,fp32,0.2625732421875,0.488525390625,0.0,0.0,10,0.488525390625,2500
4.tanh,tanh,1.0,0.909466564655304,-0.7248516082763672,-0.03007672354578972,0.6527769565582275,0.91702800989151,fp32,0.2274169921875,0.5341796875,0.0,,10,0.0,2500
4.silu,silu,1.0,1.1842573881149292,-0.6744021773338318,-0.016821645200252533,0.7672489881515503,0.49691563844680786,fp32,0.241455078125,0.51904296875,0.0,,10,0.0,2500
2.relu,relu,1.0,1.0363882780075073,-0.6271451115608215,-0.008491463027894497,0.5658165216445923,0.4859619140625,fp32,0.3011474609375,0.5140380859375,0.0,0.0,10,0.5140380859375,3000
2.tanh,tanh,1.0,1.0056142807006836,-0.6621077060699463,-0.013214703649282455,0.5737236738204956,0.9389392733573914,fp32,0.295654296875,0.5211181640625,0.0,,10,0.0,3000
2.silu,silu,1.0,0.883190929889679,-0.5669408440589905,-0.0050659701228141785,0.6344571709632874,0.5008995532989502,fp32,0.2950439453125,0.509033203125,0.0,,10,0.0,3000
3.relu,relu,1.0,1.0487693548202515,-0.6662305593490601,0.06457724422216415,0.7221585512161255,0.57763671875,fp32,0.231201171875,0.42236328125,0.0,0.0,10,0.42236328125,3000
3.tanh,tanh,1.0,0.9616689682006836,-0.6508388519287109,-0.00418595876544714,0.6238707900047302,0.9284913539886475,fp32,0.26025390625,0.5068359375,0.0,,10,0.0,3000
3.silu,silu,1.0,1.1248329877853394,-0.6150532364845276,-0.006959523074328899,0.6875049471855164,0.5024672746658325,fp32,0.2998046875,0.5093994140625,0.0,,10,0.0,3000
4.relu,relu,1.0,1.0379915237426758,-0.6916718482971191,0.007926981896162033,0.6903121471405029,0.51171875,fp32,0.26416015625,0.48828125,0.0,0.0,10,0.48828125,3000
4.tanh,tanh,1.0,0.9043374061584473,-0.7154624462127686,-0.02978118136525154,0.6467541456222534,0.9185199737548828,fp32,0.231201171875,0.532958984375,0.0,,10,0.0,3000
4.silu,silu,1.0,1.1603081226348877,-0.6693465709686279,-0.016025271266698837,0.756093442440033,0.4967390298843384,fp32,0.2435302734375,0.5185546875,0.0,,10,0.0,3000
2.relu,relu,1.0,1.0279790163040161,-0.6285529732704163,-0.009605110622942448,0.5638526678085327,0.4849853515625,fp32,0.3031005859375,0.5150146484375,0.0,0.0,10,0.5150146484375,3500
2.tanh,tanh,1.0,1.0043050050735474,-0.6579073071479797,-0.011734592728316784,0.5674527287483215,0.9396819472312927,fp32,0.2991943359375,0.52099609375,0.0,,10,0.0,3500
2.silu,silu,1.0,0.8824344873428345,-0.5654820799827576,-0.005369907710701227,0.6355903744697571,0.500863790512085,fp32,0.297119140625,0.5087890625,0.0,,10,0.0,3500
3.relu,relu,1.0,1.029585599899292,-0.6649947762489319,0.06442244350910187,0.7167792916297913,0.57568359375,fp32,0.231201171875,0.42431640625,0.0,0.0,10,0.42431640625,3500
3.tanh,tanh,1.0,0.9484434723854065,-0.6434694528579712,-0.004318876191973686,0.6175216436386108,0.9302061796188354,fp32,0.26318359375,0.506103515625,0.0,,10,0.0,3500
3.silu,silu,1.0,1.1204544305801392,-0.6085420250892639,-0.006798709277063608,0.6876534223556519,0.5023066997528076,fp32,0.3021240234375,0.5101318359375,0.0,,10,0.0,3500
4.relu,relu,1.0,1.0392576456069946,-0.6947237253189087,0.006726113148033619,0.6804621815681458,0.5096435546875,fp32,0.2646484375,0.4903564453125,0.0,0.0,10,0.4903564453125,3500
4.tanh,tanh,1.0,0.8980503082275391,-0.7059869766235352,-0.027235323563218117,0.6411020159721375,0.9198627471923828,fp32,0.232666015625,0.5313720703125,0.0,,10,0.0,3500
4.silu,silu,1.0,1.129905104637146,-0.6651976108551025,-0.01598794013261795,0.7442266941070557,0.4965187907218933,fp32,0.24462890625,0.5189208984375,0.0,,10,0.0,3500
2.relu,relu,1.0,1.0116721391677856,-0.6280077695846558,-0.010381923988461494,0.5593218803405762,0.4830322265625,fp32,0.304443359375,0.5169677734375,0.0,0.0,10,0.5169677734375,4000
2.tanh,tanh,1.0,1.0019335746765137,-0.6533923745155334,-0.01173998974263668,0.5613813996315002,0.9403015375137329,fp32,0.2989501953125,0.520263671875,0.0,,10,0.0,4000
2.silu,silu,1.0,0.8820112943649292,-0.5646592974662781,-0.005952874198555946,0.6368107795715332,0.500812292098999,fp32,0.30029296875,0.5089111328125,0.0,,10,0.0,4000
3.relu,relu,1.0,1.0102581977844238,-0.6631969213485718,0.061395201832056046,0.7104979753494263,0.5723876953125,fp32,0.2318115234375,0.4276123046875,0.0,0.0,10,0.4276123046875,4000
3.tanh,tanh,1.0,0.9382696747779846,-0.6343828439712524,-0.004899048712104559,0.6119150519371033,0.9316786527633667,fp32,0.265380859375,0.506591796875,0.0,,10,0.0,4000
3.silu,silu,1.0,1.117585301399231,-0.6058638691902161,-0.00786968320608139,0.6869811415672302,0.5020977258682251,fp32,0.303955078125,0.512939453125,0.0,,10,0.0,4000
4.relu,relu,1.0,1.037346363067627,-0.686969518661499,0.00407007522881031,0.6703517436981201,0.50439453125,fp32,0.263671875,0.49560546875,0.0,0.0,10,0.49560546875,4000
4.tanh,tanh,1.0,0.8981649875640869,-0.6973704099655151,-0.026435449719429016,0.6353471875190735,0.9210967421531677,fp32,0.234130859375,0.530517578125,0.0,,10,0.0,4000
4.silu,silu,1.0,1.0997823476791382,-0.6612498164176941,-0.016406822949647903,0.7348697781562805,0.4959825277328491,fp32,0.2476806640625,0.521484375,0.0,,10,0.0,4000
2.relu,relu,1.0,1.0001146793365479,-0.6286191344261169,-0.011525992304086685,0.5516707301139832,0.4801025390625,fp32,0.307861328125,0.5198974609375,0.0,0.0,10,0.5198974609375,4500
2.tanh,tanh,1.0,0.995140552520752,-0.64768385887146,-0.010439921170473099,0.553333580493927,0.9410363435745239,fp32,0.3006591796875,0.5189208984375,0.0,,10,0.0,4500
2.silu,silu,1.0,0.8791314363479614,-0.5606288313865662,-0.007289081811904907,0.6351494193077087,0.5004774332046509,fp32,0.3016357421875,0.5101318359375,0.0,,10,0.0,4500
3.relu,relu,1.0,0.9727339148521423,-0.6564781665802002,0.0560850091278553,0.6967985033988953,0.5675048828125,fp32,0.2310791015625,0.4324951171875,0.0,0.0,10,0.4324951171875,4500
3.tanh,tanh,1.0,0.9223141074180603,-0.6247607469558716,-0.004805977921932936,0.6030733585357666,0.9339039325714111,fp32,0.2718505859375,0.5079345703125,0.0,,10,0.0,4500
3.silu,silu,1.0,1.108830213546753,-0.6007958054542542,-0.009451841935515404,0.6863659024238586,0.5014817714691162,fp32,0.307373046875,0.5167236328125,0.0,,10,0.0,4500
4.relu,relu,1.0,1.0284337997436523,-0.6822459101676941,0.001989133656024933,0.6579270362854004,0.50341796875,fp32,0.2677001953125,0.49658203125,0.0,0.0,10,0.49658203125,4500
4.tanh,tanh,1.0,0.8869416117668152,-0.679397463798523,-0.02427038364112377,0.6247442960739136,0.9229949712753296,fp32,0.23486328125,0.5303955078125,0.0,,10,0.0,4500
4.silu,silu,1.0,1.0676305294036865,-0.6477761268615723,-0.01661698892712593,0.7241111397743225,0.49498069286346436,fp32,0.2537841796875,0.52197265625,0.0,,10,0.0,4500
2.relu,relu,1.0,0.9883321523666382,-0.6252533793449402,-0.011842955835163593,0.5488386154174805,0.481689453125,fp32,0.30712890625,0.518310546875,0.0,0.0,10,0.518310546875,5000
2.tanh,tanh,1.0,0.9946314692497253,-0.6435554027557373,-0.01163388416171074,0.5501229763031006,0.9415256977081299,fp32,0.3026123046875,0.5196533203125,0.0,,10,0.0,5000
2.silu,silu,1.0,0.8754494190216064,-0.5552546977996826,-0.007328934967517853,0.6372150778770447,0.5006044507026672,fp32,0.302734375,0.5093994140625,0.0,,10,0.0,5000
3.relu,relu,1.0,0.9516436457633972,-0.656766951084137,0.055864326655864716,0.6880425810813904,0.567626953125,fp32,0.23388671875,0.432373046875,0.0,0.0,10,0.432373046875,5000
3.tanh,tanh,1.0,0.9145715236663818,-0.6193967461585999,-0.0048449477180838585,0.6005557179450989,0.9348135590553284,fp32,0.2725830078125,0.5064697265625,0.0,,10,0.0,5000
3.silu,silu,1.0,1.1039912700653076,-0.597041130065918,-0.010816258378326893,0.6847507953643799,0.5012937784194946,fp32,0.3082275390625,0.518798828125,0.0,,10,0.0,5000
4.relu,relu,1.0,1.02120840549469,-0.6828007698059082,0.0015283754328265786,0.6512414813041687,0.502197265625,fp32,0.26611328125,0.497802734375,0.0,0.0,10,0.497802734375,5000
4.tanh,tanh,1.0,0.8790304660797119,-0.6752830147743225,-0.023722901940345764,0.6207524538040161,0.9239107966423035,fp32,0.237060546875,0.527587890625,0.0,,10,0.0,5000
4.silu,silu,1.0,1.0641398429870605,-0.6433355808258057,-0.016856979578733444,0.7170726656913757,0.4943581819534302,fp32,0.2559814453125,0.5230712890625,0.0,,10,0.0,5000
2.relu,relu,1.0,0.9649403691291809,-0.6173685789108276,-0.013163444586098194,0.545096755027771,0.478515625,fp32,0.31103515625,0.521484375,0.0,0.0,10,0.521484375,5500
2.tanh,tanh,1.0,0.9857040047645569,-0.635510265827179,-0.010675042867660522,0.5410875082015991,0.9420814514160156,fp32,0.30419921875,0.5186767578125,0.0,,10,0.0,5500
2.silu,silu,1.0,0.8702095150947571,-0.5503609776496887,-0.006983705796301365,0.6388697028160095,0.5004173517227173,fp32,0.303955078125,0.511474609375,0.0,,10,0.0,5500
3.relu,relu,1.0,0.9341124892234802,-0.6566444635391235,0.05394784361124039,0.681930661201477,0.56396484375,fp32,0.235107421875,0.43603515625,0.0,0.0,10,0.43603515625,5500
3.tanh,tanh,1.0,0.9033718705177307,-0.6124177575111389,-0.004221393261104822,0.5950145125389099,0.9360878467559814,fp32,0.27783203125,0.5059814453125,0.0,,10,0.0,5500
3.silu,silu,1.0,1.104607105255127,-0.5911257863044739,-0.012376504018902779,0.6868339776992798,0.5009878873825073,fp32,0.310791015625,0.52001953125,0.0,,10,0.0,5500
4.relu,relu,1.0,1.0163229703903198,-0.6791877746582031,-0.001371611375361681,0.6429502964019775,0.4981689453125,fp32,0.2706298828125,0.5018310546875,0.0,0.0,10,0.5018310546875,5500
4.tanh,tanh,1.0,0.8763563632965088,-0.666171133518219,-0.021964162588119507,0.6156660318374634,0.9251416921615601,fp32,0.2369384765625,0.527099609375,0.0,,10,0.0,5500
4.silu,silu,1.0,1.0561026334762573,-0.6366983652114868,-0.01834706962108612,0.7118071913719177,0.4937129616737366,fp32,0.259033203125,0.525390625,0.0,,10,0.0,5500
2.relu,relu,1.0,0.9376299381256104,-0.6097434163093567,-0.014270218089222908,0.5368849039077759,0.4737548828125,fp32,0.31640625,0.5262451171875,0.0,0.0,10,0.5262451171875,6000
2.tanh,tanh,1.0,0.9787067770957947,-0.6296505928039551,-0.010721152648329735,0.5342889428138733,0.9425543546676636,fp32,0.3056640625,0.51708984375,0.0,,10,0.0,6000
2.silu,silu,1.0,0.8726211786270142,-0.546563982963562,-0.007618598639965057,0.63875412940979,0.500287652015686,fp32,0.305908203125,0.5123291015625,0.0,,10,0.0,6000
3.relu,relu,1.0,0.9206545948982239,-0.6524865031242371,0.05262008681893349,0.6755181550979614,0.5635986328125,fp32,0.23828125,0.4364013671875,0.0,0.0,10,0.4364013671875,6000
3.tanh,tanh,1.0,0.8892458081245422,-0.6094630360603333,-0.004573848098516464,0.5894805192947388,0.9374442100524902,fp32,0.2794189453125,0.5068359375,0.0,,10,0.0,6000
3.silu,silu,1.0,1.1000524759292603,-0.5853981375694275,-0.01380647998303175,0.6830710768699646,0.5004563331604004,fp32,0.3128662109375,0.522705078125,0.0,,10,0.0,6000
4.relu,relu,1.0,1.0049325227737427,-0.6704537272453308,-0.0038545667193830013,0.6324513554573059,0.4947509765625,fp32,0.2740478515625,0.5052490234375,0.0,0.0,10,0.5052490234375,6000
4.tanh,tanh,1.0,0.8702705502510071,-0.658592164516449,-0.020886454731225967,0.6076247692108154,0.9265308380126953,fp32,0.23828125,0.525634765625,0.0,,10,0.0,6000
4.silu,silu,1.0,1.0556410551071167,-0.631262481212616,-0.020007887855172157,0.7104537487030029,0.4926387071609497,fp32,0.2650146484375,0.5257568359375,0.0,,10,0.0,6000
2.relu,relu,1.0,0.922630786895752,-0.6089750528335571,-0.014241237193346024,0.5355795621871948,0.4713134765625,fp32,0.3201904296875,0.5286865234375,0.0,0.0,10,0.5286865234375,6500
2.tanh,tanh,1.0,0.9783411026000977,-0.6272643208503723,-0.011404583230614662,0.5362313389778137,0.9427651762962341,fp32,0.305908203125,0.517333984375,0.0,,10,0.0,6500
2.silu,silu,1.0,0.8701754212379456,-0.5447481274604797,-0.007008112967014313,0.6386106610298157,0.500289797782898,fp32,0.3070068359375,0.51318359375,0.0,,10,0.0,6500
3.relu,relu,1.0,0.9048275351524353,-0.6528120040893555,0.04986869543790817,0.6706545352935791,0.5601806640625,fp32,0.2415771484375,0.4398193359375,0.0,0.0,10,0.4398193359375,6500
3.tanh,tanh,1.0,0.8807210326194763,-0.6025359630584717,-0.004488165490329266,0.5862199664115906,0.9386686682701111,fp32,0.2828369140625,0.506103515625,0.0,,10,0.0,6500
3.silu,silu,1.0,1.097302794456482,-0.5825121402740479,-0.01508237048983574,0.6826049089431763,0.49997588992118835,fp32,0.3172607421875,0.5252685546875,0.0,,10,0.0,6500
4.relu,relu,1.0,0.994028627872467,-0.6623805165290833,-0.0034566191025078297,0.6272677779197693,0.49462890625,fp32,0.280029296875,0.50537109375,0.0,0.0,10,0.50537109375,6500
4.tanh,tanh,1.0,0.8661482930183411,-0.6504475474357605,-0.020314868539571762,0.6011096239089966,0.9278380870819092,fp32,0.24267578125,0.524169921875,0.0,,10,0.0,6500
4.silu,silu,1.0,1.0526268482208252,-0.6266323924064636,-0.02151637151837349,0.7039937376976013,0.4916800260543823,fp32,0.267822265625,0.52783203125,0.0,,10,0.0,6500
2.relu,relu,1.0,0.90349280834198,-0.613328218460083,-0.018014531582593918,0.5259510278701782,0.46435546875,fp32,0.3228759765625,0.53564453125,0.0,0.0,10,0.53564453125,7000
2.tanh,tanh,1.0,0.9663558602333069,-0.6231311559677124,-0.01159070897847414,0.5281542539596558,0.9432493448257446,fp32,0.3055419921875,0.5167236328125,0.0,,10,0.0,7000
2.silu,silu,1.0,0.8683745861053467,-0.5391607284545898,-0.008968202397227287,0.6378031373023987,0.5000885128974915,fp32,0.310302734375,0.5142822265625,0.0,,10,0.0,7000
3.relu,relu,1.0,0.8853307366371155,-0.6510108113288879,0.04635928198695183,0.6643397212028503,0.55908203125,fp32,0.245361328125,0.44091796875,0.0,0.0,10,0.44091796875,7000
3.tanh,tanh,1.0,0.8660805225372314,-0.5917859077453613,-0.004525576718151569,0.5789239406585693,0.9401682615280151,fp32,0.2874755859375,0.5064697265625,0.0,,10,0.0,7000
3.silu,silu,1.0,1.0963655710220337,-0.574920654296875,-0.016100598499178886,0.6858215928077698,0.4994215965270996,fp32,0.3199462890625,0.526123046875,0.0,,10,0.0,7000
4.relu,relu,1.0,0.977078914642334,-0.6559439897537231,-0.005770127288997173,0.6177012324333191,0.4906005859375,fp32,0.2835693359375,0.5093994140625,0.0,0.0,10,0.5093994140625,7000
4.tanh,tanh,1.0,0.8568124771118164,-0.641287624835968,-0.01919788308441639,0.5943927764892578,0.9294521808624268,fp32,0.24365234375,0.5223388671875,0.0,,10,0.0,7000
4.silu,silu,1.0,1.0523470640182495,-0.6213104724884033,-0.022293604910373688,0.7016105055809021,0.4904782772064209,fp32,0.2740478515625,0.5313720703125,0.0,,10,0.0,7000
2.relu,relu,1.0,0.9039633274078369,-0.6098756790161133,-0.017264071851968765,0.5183632969856262,0.4686279296875,fp32,0.3287353515625,0.5313720703125,0.0,0.0,10,0.5313720703125,7500
2.tanh,tanh,1.0,0.9591742157936096,-0.6209286451339722,-0.01178319938480854,0.526069700717926,0.9435264468193054,fp32,0.3052978515625,0.5174560546875,0.0,,10,0.0,7500
2.silu,silu,1.0,0.8685796856880188,-0.5381587743759155,-0.008850255981087685,0.6390246152877808,0.5001758337020874,fp32,0.3131103515625,0.51513671875,0.0,,10,0.0,7500
3.relu,relu,1.0,0.8777430057525635,-0.646194577217102,0.042973052710294724,0.6607462167739868,0.5562744140625,fp32,0.2476806640625,0.4437255859375,0.0,0.0,10,0.4437255859375,7500
3.tanh,tanh,1.0,0.8557252883911133,-0.5875403881072998,-0.005253654904663563,0.5750231742858887,0.9410185813903809,fp32,0.29052734375,0.5072021484375,0.0,,10,0.0,7500
3.silu,silu,1.0,1.0982472896575928,-0.5729339718818665,-0.016805022954940796,0.6844412684440613,0.4990466833114624,fp32,0.3211669921875,0.5286865234375,0.0,,10,0.0,7500
4.relu,relu,1.0,0.9619454741477966,-0.6492523550987244,-0.006548418663442135,0.612223207950592,0.49072265625,fp32,0.2874755859375,0.50927734375,0.0,0.0,10,0.50927734375,7500
4.tanh,tanh,1.0,0.8503506183624268,-0.6364670991897583,-0.017562303692102432,0.5929480791091919,0.9302372932434082,fp32,0.244873046875,0.5220947265625,0.0,,10,0.0,7500
4.silu,silu,1.0,1.0461417436599731,-0.617495596408844,-0.023038145154714584,0.696917712688446,0.4896765351295471,fp32,0.2763671875,0.53271484375,0.0,,10,0.0,7500
2.relu,relu,1.0,0.9082757830619812,-0.6079163551330566,-0.018371762707829475,0.5137738585472107,0.4652099609375,fp32,0.3304443359375,0.5347900390625,0.0,0.0,10,0.5347900390625,8000
2.tanh,tanh,1.0,0.9529576897621155,-0.6169402599334717,-0.01074337400496006,0.5239356160163879,0.9438295960426331,fp32,0.30517578125,0.517822265625,0.0,,10,0.0,8000
