clipped,clipped_fraction,e3m4_element_share,e4m3_element_share,e5m2_element_share,elements,gain,mean_mse,mode,records,role,seed,squared_error_sum,zeroed,zeroed_fraction
0,0.0,0.9999531903718015,4.6809628198514216e-05,0.0,2029497,1.0,9.269183661499261e-12,adaptive,3216,gradient,12,1.8811780433461766e-05,62308,0.03070120330308446
0,0.0,1.0,0.0,0.0,2029497,1.0,1.779461699931855e-06,fixed-e3m4,3216,weight,13,3.6114121816266,2054,0.0010120734349447179
0,0.0,1.0,0.0,0.0,2029497,1.0,7.331688776429168e-12,fixed-e3m4,3216,gradient,13,1.4879640376696668e-05,55027,0.02711361485136465
0,0.0,0.0,1.0,0.0,2029497,1.0,7.074105823730428e-06,fixed-e4m3,3216,weight,13,14.356876546943433,14,6.8982609976757785e-06
0,0.0,0.0,1.0,0.0,2029497,1.0,3.648508329631624e-11,fixed-e4m3,3216,gradient,13,7.404636709462392e-05,399,0.00019660043843375968
0,0.0,0.0,0.0,1.0,2029497,1.0,2.8776709982101387e-05,fixed-e5m2,3216,weight,13,58.40224657854482,0,0.0
0,0.0,0.0,0.0,1.0,2029497,1.0,2.1921185407068045e-10,fixed-e5m2,3216,gradient,13,0.00044488980020088376,0,0.0
0,0.0,0.0,1.0,0.0,2029497,1.0,7.109674206577931e-06,fixed-hybrid,3216,weight,13,14.429062473227292,11,5.4200622124595405e-06
0,0.0,0.0,0.0,1.0,2029497,1.0,1.1818599140200114e-10,fixed-hybrid,3216,gradient,13,0.00023985811499238713,0,0.0
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,1.0,1.779461699931855e-06,calibrated,3216,weight,13,3.6114121816266,2054,0.0010120734349447179
0,0.0,1.0,0.0,0.0,2029497,1.0,7.331688776429168e-12,calibrated,3216,gradient,13,1.4879640376696668e-05,55027,0.02711361485136465
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,1.0,1.7798260450693544e-06,adaptive,3216,weight,13,3.6121516189901195,2054,0.0010120734349447179
0,0.0,0.9999482630425174,5.173695748256834e-05,0.0,2029497,1.0,7.331688776429168e-12,adaptive,3216,gradient,13,1.4879640376696668e-05,55027,0.02711361485136465
0,0.0,1.0,0.0,0.0,2029497,1.0,1.783062903325098e-06,fixed-e3m4,3216,weight,14,3.6187208131095763,2000,0.0009854658568108255
0,0.0,1.0,0.0,0.0,2029497,1.0,5.628338443480766e-12,fixed-e3m4,3216,gradient,14,1.1422695986028885e-05,54542,0.026874639381088024
0,0.0,0.0,1.0,0.0,2029497,1.0,7.081670176877183e-06,fixed-e4m3,3216,weight,14,14.372228378961712,5,2.463664642027064e-06
0,0.0,0.0,1.0,0.0,2029497,1.0,2.706384045398141e-11,fixed-e4m3,3216,gradient,14,5.492598300983391e-05,435,0.00021433882385635456
0,0.0,0.0,0.0,1.0,2029497,1.0,2.8234068977721244e-05,fixed-e5m2,3216,weight,14,57.300958288078334,0,0.0
0,0.0,0.0,0.0,1.0,2029497,1.0,1.4868795007437028e-10,fixed-e5m2,3216,gradient,14,0.00030176174861208427,0,0.0
0,0.0,0.0,1.0,0.0,2029497,1.0,7.0252900989191194e-06,fixed-hybrid,3216,weight,14,14.257805179886056,8,3.9418634272433025e-06
0,0.0,0.0,0.0,1.0,2029497,1.0,1.3104542265527393e-10,fixed-hybrid,3216,gradient,14,0.0002659562921426105,0,0.0
0,0.0,1.0,0.0,0.0,2029497,1.0,1.7632282142202762e-06,calibrated,3216,weight,14,3.578466371075408,2248,0.001107663623055368
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,1.0,6.1020169007852486e-12,calibrated,3216,gradient,14,1.238402499409296e-05,49502,0.024391265421924744
0,0.0,0.9999329883217368,6.701167826313614e-05,0.0,2029497,1.0,1.76871333960986e-06,adaptive,3216,weight,14,3.589598416598192,1952,0.0009618146762473657
0,0.0,0.9999522049059447,4.779509405532504e-05,0.0,2029497,1.0,5.047744704605268e-12,adaptive,3216,gradient,14,1.0244382734762278e-05,51860,0.025553129667104706
0,0.0,1.0,0.0,0.0,2029497,4.0,1.7428388558161496e-06,fixed-e3m4,3216,weight,10,3.537086229362308,2563,0.001262874495503073
0,0.0,1.0,0.0,0.0,2029497,4.0,5.534706901744517e-11,fixed-e3m4,3216,gradient,10,0.00011232671052969793,77607,0.03823952437475887
0,0.0,0.0,1.0,0.0,2029497,4.0,6.9452543621224035e-06,fixed-e4m3,3216,weight,10,14.095372892164331,12,5.912795140864953e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,3.310851210407432e-10,fixed-e4m3,3216,gradient,10,0.0006719362598968252,1539,0.0007583159768159303
0,0.0,0.0,0.0,1.0,2029497,4.0,2.7754522910092175e-05,fixed-e5m2,3216,weight,10,56.32772098246334,0,0.0
0,0.0,0.0,0.0,1.0,2029497,4.0,1.6888359985675456e-09,fixed-e5m2,3216,gradient,10,0.003427487592584838,0,0.0
0,0.0,0.0,1.0,0.0,2029497,4.0,6.979643733059102e-06,fixed-hybrid,3216,weight,10,14.165166017312249,6,2.9563975704324764e-06
0,0.0,0.0,0.0,1.0,2029497,4.0,1.5204981972799565e-09,fixed-hybrid,3216,gradient,10,0.00308584652988508,0,0.0
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,1.7115265744059406e-06,calibrated,3216,weight,10,3.4735380481771334,2392,0.0011786171647457473
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,5.549810726254082e-11,calibrated,3216,gradient,10,0.0001126332421950048,72833,0.03588721737455143
0,0.0,0.9999522049059447,4.779509405532504e-05,0.0,2029497,4.0,1.7195275001461604e-06,adaptive,3216,weight,10,3.489775902964132,2228,0.0010978089644872596
0,0.0,0.9999556540364435,4.434596355648715e-05,0.0,2029497,4.0,6.097230976940915e-11,adaptive,3216,gradient,10,0.00012374311976008656,69887,0.034435626167469084
0,0.0,1.0,0.0,0.0,2029497,4.0,1.6931632588462453e-06,fixed-e3m4,3216,weight,11,3.4362697543386784,1795,0.0008844556064877159
0,0.0,1.0,0.0,0.0,2029497,4.0,3.153432219079279e-11,fixed-e3m4,3216,gradient,11,6.39988122832474e-05,53361,0.026292721792641232
0,0.0,0.0,1.0,0.0,2029497,4.0,6.860908307269771e-06,fixed-e4m3,3216,weight,11,13.924192826879079,6,2.9563975704324764e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,1.8595275935393832e-10,fixed-e4m3,3216,gradient,11,0.00037739056725053974,668,0.0003291455961748157
0,0.0,0.0,0.0,1.0,2029497,4.0,2.7392356519434588e-05,fixed-e5m2,3216,weight,11,55.59270537912294,0,0.0
0,0.0,0.0,0.0,1.0,2029497,4.0,1.9165735038844468e-09,fixed-e5m2,3216,gradient,11,0.003889680176412973,3,1.4781987852162382e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,6.8678983613608125e-06,fixed-hybrid,3216,weight,11,13.938379120686685,4,1.9709317136216512e-06
0,0.0,0.0,0.0,1.0,2029497,4.0,7.444119647907057e-10,fixed-hybrid,3216,gradient,11,0.0015107818493068428,5,2.463664642027064e-06
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,1.6829713607973143e-06,calibrated,3216,weight,11,3.415585327824067,1739,0.0008568625624970128
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,3.6984469312641293e-11,calibrated,3216,gradient,11,7.505986951659757e-05,56536,0.027857148840328416
0,0.0,0.9999354519863789,6.454801362110908e-05,0.0,2029497,4.0,1.679350117587086e-06,adaptive,3216,weight,11,3.4082360255926383,1784,0.0008790355442752564
0,0.0,0.9999522049059447,4.779509405532504e-05,0.0,2029497,4.0,4.156194910989799e-11,adaptive,3216,gradient,11,8.434985103269065e-05,52548,0.02589212992184763
0,0.0,1.0,0.0,0.0,2029497,4.0,1.6848173080618148e-06,fixed-e3m4,3216,weight,12,3.419331672259529,1928,0.0009499890859656358
0,0.0,1.0,0.0,0.0,2029497,4.0,2.4807022559233447e-11,fixed-e3m4,3216,gradient,12,5.0345777862896606e-05,44981,0.022163619852603872
0,0.0,0.0,1.0,0.0,2029497,4.0,6.724671136159082e-06,fixed-e4m3,3216,weight,12,13.647699896821448,12,5.912795140864953e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,1.2836080068122853e-10,fixed-e4m3,3216,gradient,12,0.00026050785990015124,634,0.0003123926766090317
0,0.0,0.0,0.0,1.0,2029497,4.0,2.764563876333169e-05,fixed-e5m2,3216,weight,12,56.10674093326538,0,0.0
0,0.0,0.0,0.0,1.0,2029497,4.0,1.5857438415656336e-09,fixed-e5m2,3216,gradient,12,0.003218262369225929,21,1.0347391496513669e-05
0,0.0,0.0,1.0,0.0,2029497,4.0,6.836019540481536e-06,fixed-hybrid,3216,weight,12,13.873681149348656,10,4.927329284054128e-06
0,0.0,0.0,0.0,1.0,2029497,4.0,5.442091946753997e-10,fixed-hybrid,3216,gradient,12,0.0011044709279661397,0,0.0
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,1.683326000357365e-06,calibrated,3216,weight,12,3.4163050677472713,1859,0.0009159905139056624
0,0.0,0.9999009606813906,9.903931860948797e-05,0.0,2029497,4.0,2.5690051070350264e-11,calibrated,3216,gradient,12,5.213788157712265e-05,45715,0.022525285822053445
0,0.0,0.9999334810546653,6.651894533473072e-05,0.0,2029497,4.0,1.6843646437030425e-06,adaptive,3216,weight,12,3.418412991301394,1933,0.0009524527506076628
0,0.0,0.9999492485083742,5.0751491625757515e-05,0.0,2029497,4.0,2.348355835955473e-11,adaptive,3216,gradient,12,4.765981124004125e-05,42851,0.02111409871510034
0,0.0,1.0,0.0,0.0,2029497,4.0,1.7136617825126928e-06,fixed-e3m4,3216,weight,13,3.4778714466241625,1852,0.0009125413834068244
0,0.0,1.0,0.0,0.0,2029497,4.0,3.7809549700722276e-11,fixed-e3m4,3216,gradient,13,7.673436768896676e-05,58833,0.02898895637687565
0,0.0,0.0,1.0,0.0,2029497,4.0,6.9417656574436526e-06,fixed-e4m3,3216,weight,13,14.088292576484921,7,3.4491304988378893e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,2.3997479018986177e-10,fixed-e4m3,3216,gradient,13,0.0004870281167659539,734,0.000361665969449573
0,0.0,0.0,0.0,1.0,2029497,4.0,2.7993256603190507e-05,fixed-e5m2,3216,weight,13,56.812230296405325,0,0.0
0,0.0,0.0,0.0,1.0,2029497,4.0,1.003784301738574e-09,fixed-e5m2,3216,gradient,13,0.0020371772290255306,9,4.434596355648715e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,6.891913592985632e-06,fixed-hybrid,3216,weight,13,13.987117961223563,8,3.9418634272433025e-06
0,0.0,0.0,0.0,1.0,2029497,4.0,5.911671209239736e-10,fixed-hybrid,3216,gradient,13,0.0011997718984138417,13,6.405528069270366e-06
0,0.0,1.0,0.0,0.0,2029497,4.0,1.7136617825126928e-06,calibrated,3216,weight,13,3.4778714466241625,1852,0.0009125413834068244
0,0.0,1.0,0.0,0.0,2029497,4.0,3.7809549700722276e-11,calibrated,3216,gradient,13,7.673436768896676e-05,58833,0.02898895637687565
0,0.0,1.0,0.0,0.0,2029497,4.0,1.696981413921055e-06,adaptive,3216,weight,13,3.4440186886085393,1768,0.0008711518174207698
0,0.0,0.9999517121730163,4.828782698373045e-05,0.0,2029497,4.0,3.758541062313647e-11,adaptive,3216,gradient,13,7.62794781034236e-05,54472,0.026840148076099645
0,0.0,1.0,0.0,0.0,2029497,4.0,1.6970298828023816e-06,fixed-e3m4,3216,weight,14,3.444117056057785,2006,0.0009884222543812581
0,0.0,1.0,0.0,0.0,2029497,4.0,2.2737702676320345e-11,fixed-e3m4,3216,gradient,14,4.614609936848411e-05,46160,0.022744551975193854
0,0.0,0.0,1.0,0.0,2029497,4.0,6.78879258447366e-06,fixed-e4m3,3216,weight,14,13.77783418381154,15,7.390993926081192e-06
0,0.0,0.0,1.0,0.0,2029497,4.0,1.1799951229117167e-10,fixed-e4m3,3216,gradient,14,0.00023947965619639604,345,0.00016999286029986742
0,0.0,0.0,0.0,1.0,2029497,4.0,2.725283985279122e-05,fixed-e5m2,3216,weight,14,55.309556722720224,0,0.0
0,0.0,0.0,0.0,1.0,2029497,4.0,9.066641820607783e-10,fixed-e5m2,3216,gradient,14,0.0018400722374998033,0,0.0
0,0.0,0.0,1.0,0.0,2029497,4.0,6.809179965364237e-06,fixed-hybrid,3216,weight,14,13.819210312166822,13,6.405528069270366e-06
0,0.0,0.0,0.0,1.0,2029497,4.0,4.4116473682477434e-10,fixed-hybrid,3216,gradient,14,0.0008953425098916691,12,5.912795140864953e-06
0,0.0,1.0,0.0,0.0,2029497,4.0,1.6970298828023816e-06,calibrated,3216,weight,14,3.444117056057785,2006,0.0009884222543812581
0,0.0,1.0,0.0,0.0,2029497,4.0,2.2737702676320345e-11,calibrated,3216,gradient,14,4.614609936848411e-05,46160,0.022744551975193854
0,0.0,0.9999231336631688,7.68663368312444e-05,0.0,2029497,4.0,1.6980897314688565e-06,adaptive,3216,weight,14,3.44626801574685,1788,0.000881006475988878
0,0.0,0.9999472775766606,5.2722423339379164e-05,0.0,2029497,4.0,2.565459670670737e-11,adaptive,3216,gradient,14,5.2065927052472484e-05,47101,0.023208213660823346
