array,elements,format,gain,margin,mode,mse_e3m4,mse_e4m3,mse_e5m2,seed,step
weight:4.expand.weight,1536,e3m4,1.0,0.7615801609144041,adaptive,2.084840430673053e-06,8.744408345668614e-06,3.212600610633537e-05,10,200
weight:4.expand.bias,48,e3m4,1.0,0.7084477123467623,adaptive,1.8321387181098679e-06,6.284082806748376e-06,4.415342515669825e-05,10,200
weight:4.project.weight,1536,e3m4,1.0,0.7249306149180991,adaptive,1.3755263103174988e-06,5.000652144214234e-06,2.0327586136804356e-05,10,200
weight:4.project.bias,32,e3m4,1.0,0.7364611126724004,adaptive,1.2577647700211677e-06,4.772596495247653e-06,1.927030123507191e-05,10,200
weight:5.weight,32,e3m4,1.0,0.683056016716867,adaptive,1.7808515666787987e-06,5.61882118168473e-06,3.2284667175219007e-05,10,200
weight:5.bias,1,e4m3,1.0,0.0,adaptive,4.124621878764945e-08,4.124621878764945e-08,1.3713381756277898e-05,10,200
gradient:1.weight,576,e3m4,1.0,0.775856640736659,adaptive,5.3172704405739244e-11,2.372263206034485e-10,8.363086535008906e-10,10,200
gradient:1.bias,32,e3m4,1.0,0.8160304591719589,adaptive,1.554819781563754e-12,8.45150656225786e-12,1.62803777941098e-11,10,200
gradient:2.expand.weight,1536,e3m4,1.0,0.7091882822494743,adaptive,1.978779245769212e-12,6.804331204654956e-12,3.4968674874648624e-11,10,200
gradient:2.expand.bias,48,e3m4,1.0,0.9522471161108935,adaptive,2.776451967357558e-13,5.814207941462004e-12,1.2174927690404556e-11,10,200
gradient:2.project.weight,1536,e3m4,1.0,0.7732420516404966,adaptive,1.5289259137256388e-12,6.742546070762955e-12,2.707346315489853e-11,10,200
gradient:2.project.bias,32,e3m4,1.0,0.7292645374194068,adaptive,1.2855709316837335e-12,4.748439378535575e-12,4.175155696245807e-11,10,200
gradient:3.expand.weight,1536,e3m4,1.0,0.7455478034722139,adaptive,1.2643364926557265e-12,4.968856665057955e-12,2.1316267342173985e-11,10,200
gradient:3.expand.bias,48,e3m4,1.0,0.7600286337405299,adaptive,1.3194555363406056e-12,5.498387398911328e-12,9.516983450736892e-12,10,200
gradient:3.project.weight,1536,e3m4,1.0,0.7805469587180903,adaptive,9.28155284754084e-13,4.22940269741705e-12,1.638038439841833e-11,10,200
gradient:3.project.bias,32,e3m4,1.0,0.5585023444264586,adaptive,1.0859388514598763e-12,2.4596707088945998e-12,1.4200164268875347e-11,10,200
gradient:4.expand.weight,1536,e3m4,1.0,0.7477617936652187,adaptive,9.467656616647115e-13,3.753458587507253e-12,1.1589661992730352e-11,10,200
gradient:4.expand.bias,48,e3m4,1.0,0.8428124925416177,adaptive,2.568977730175799e-13,1.6343396315104576e-12,3.70876613114583e-12,10,200
gradient:4.project.weight,1536,e3m4,1.0,0.7613727014270455,adaptive,9.390610919319348e-13,3.93526263569899e-12,1.5212833781251088e-11,10,200
gradient:4.project.bias,32,e3m4,1.0,0.6615440935117779,adaptive,1.3663069940123351e-13,4.0368832920925285e-13,2.6025929889107006e-12,10,200
gradient:5.weight,32,e3m4,1.0,0.78698374678314,adaptive,6.626919137268953e-10,3.1109922539678006e-09,6.779208425754943e-09,10,200
gradient:5.bias,1,e3m4,1.0,0.6530654113767009,adaptive,3.199142895919335e-11,9.221170217170124e-11,9.221170217170124e-11,10,200
weight:1.weight,576,e3m4,1.0,0.7125038864430782,adaptive,3.0452313581647336e-06,1.0592252258609412e-05,4.5196950962820994e-05,10,300
weight:1.bias,32,e3m4,1.0,0.6579271029296425,adaptive,3.1813781809893732e-06,9.300293031794997e-06,5.0989336317736805e-05,10,300
weight:2.expand.weight,1536,e3m4,1.0,0.7418295165850368,adaptive,2.062376652071552e-06,7.988429292114884e-06,3.214959388659442e-05,10,300
weight:2.expand.bias,48,e3m4,1.0,0.6785365334080339,adaptive,1.4609506729379078e-06,4.54468648778772e-06,3.150806713127689e-05,10,300
weight:2.project.weight,1536,e3m4,1.0,0.7672810479081222,adaptive,1.3107141635057496e-06,5.632176286993067e-06,2.2420496536796958e-05,10,300
weight:2.project.bias,32,e3m4,1.0,0.8673265687744055,adaptive,1.3073199175760522e-06,9.853667802961382e-06,2.419603626205847e-05,10,300
weight:3.expand.weight,1536,e3m4,1.0,0.740638583209938,adaptive,1.938562905989271e-06,7.474368894115137e-06,3.022631279826265e-05,10,300
weight:3.expand.bias,48,e3m4,1.0,0.44006932426186296,adaptive,3.098158192186594e-06,5.533110305311279e-06,4.750642859005313e-05,10,300
weight:3.project.weight,1536,e3m4,1.0,0.7387285763018205,adaptive,1.3409739289391457e-06,5.132493672512145e-06,1.990434345237575e-05,10,300
weight:3.project.bias,32,e3m4,1.0,0.9186835507431932,adaptive,6.267743916951869e-07,7.70784260040376e-06,1.2868816256924334e-05,10,300
weight:4.expand.weight,1536,e3m4,1.0,0.7497932259717858,adaptive,2.15211418665431e-06,8.60134260957951e-06,3.2185727529288425e-05,10,300
weight:4.expand.bias,48,e3m4,1.0,0.7401337592393357,adaptive,1.8416724037092493e-06,7.087001367774515e-06,4.5337604259084396e-05,10,300
weight:4.project.weight,1536,e3m4,1.0,0.725662018731996,adaptive,1.3612755093165074e-06,4.962038078083913e-06,2.0460969237846416e-05,10,300
weight:4.project.bias,32,e3m4,1.0,0.737472286942471,adaptive,1.253608493017919e-06,4.775147272711774e-06,1.933329684567475e-05,10,300
weight:5.weight,32,e3m4,1.0,0.7099671274220682,adaptive,1.6520426459015205e-06,5.696053110178457e-06,3.2573744154547555e-05,10,300
weight:5.bias,1,e4m3,1.0,0.0,adaptive,3.652203539594723e-08,3.652203539594723e-08,1.3802284595465508e-05,10,300
gradient:1.weight,576,e3m4,1.0,0.7633038631512633,adaptive,2.0793654168047302e-11,8.784957137401749e-11,3.781243483765269e-10,10,300
gradient:1.bias,32,e3m4,1.0,0.785329321620201,adaptive,8.172916731819992e-11,3.807188197989633e-10,1.1391141524440642e-09,10,300
gradient:2.expand.weight,1536,e3m4,1.0,0.7750473131996067,adaptive,1.750272833485874e-12,7.780626488088757e-12,2.7057407568430546e-11,10,300
gradient:2.expand.bias,48,e3m4,1.0,0.6354963604409551,adaptive,1.4099778392824316e-11,3.8682133352307266e-11,9.984160797243331e-11,10,300
gradient:2.project.weight,1536,e3m4,1.0,0.7753934114042559,adaptive,1.590130461253606e-12,7.079625184618186e-12,2.5895602994251945e-11,10,300
gradient:2.project.bias,32,e3m4,1.0,0.6358832068151152,adaptive,4.082705442084863e-11,1.1212626054332572e-10,3.61667346255061e-10,10,300
gradient:3.expand.weight,1536,e3m4,1.0,0.684503669368142,adaptive,1.1978743012474046e-12,3.796793131788159e-12,1.6249668818219456e-11,10,300
gradient:3.expand.bias,48,e3m4,1.0,0.7288256133249877,adaptive,6.618122669080245e-12,2.4405412141714196e-11,8.447996564501213e-11,10,300
gradient:3.project.weight,1536,e3m4,1.0,0.7446254514758157,adaptive,1.1797461480790959e-12,4.6196700293622745e-12,1.7929710288537523e-11,10,300
gradient:3.project.bias,32,e3m4,1.0,0.7058029855003929,adaptive,2.5544228071832087e-11,8.682694525394717e-11,2.115905838019602e-10,10,300
gradient:4.expand.weight,1536,e3m4,1.0,0.7483435184070623,adaptive,7.30528109689171e-13,2.9028781816588504e-12,1.003663012473817e-11,10,300
gradient:4.expand.bias,48,e3m4,1.0,0.7589051628083361,adaptive,2.8985584339246265e-12,1.2022482387793106e-11,4.220898942935915e-11,10,300
gradient:4.project.weight,1536,e3m4,1.0,0.7497046318497641,adaptive,8.299831496448921e-13,3.3160148179278647e-12,1.4792931143745518e-11,10,300
gradient:4.project.bias,32,e3m4,1.0,0.7637744439269363,adaptive,1.1349294742478052e-11,4.804431379544624e-11,1.2374734893107577e-10,10,300
gradient:5.weight,32,e3m4,1.0,0.8741227203943512,adaptive,2.1313726961694381e-10,1.6932147746175093e-09,7.995846822822646e-09,10,300
gradient:5.bias,1,e3m4,1.0,0.864024857461336,adaptive,1.0815151137936324e-09,7.9537707672276e-09,7.9537707672276e-09,10,300
weight:1.weight,576,e3m4,1.0,0.7128144364916672,adaptive,3.044866901369181e-06,1.0602437198347659e-05,4.5103240103237414e-05,10,400
weight:1.bias,32,e3m4,1.0,0.6202631051549361,adaptive,3.901576081733359e-06,1.0274419301093294e-05,4.842348662311746e-05,10,400
weight:2.expand.weight,1536,e3m4,1.0,0.7327734210195419,adaptive,2.0604146924579447e-06,7.710365863751225e-06,3.215940972772375e-05,10,400
weight:2.expand.bias,48,e3m4,1.0,0.6737965410468502,adaptive,1.4610905851051603e-06,4.479077535824063e-06,3.1212866296030366e-05,10,400
weight:2.project.weight,1536,e3m4,1.0,0.7647491777879157,adaptive,1.3097343069314498e-06,5.567395236352004e-06,2.2579784838932805e-05,10,400
weight:2.project.bias,32,e3m4,1.0,0.8393944554838243,adaptive,1.587708945399724e-06,9.885766709877286e-06,2.5450501377227708e-05,10,400
weight:3.expand.weight,1536,e3m4,1.0,0.7359977344816442,adaptive,1.9878115563288083e-06,7.52952461383555e-06,3.059177597294484e-05,10,400
weight:3.expand.bias,48,e3m4,1.0,0.5322346737569709,adaptive,2.936100132576127e-06,6.276865701350993e-06,4.6110052628628585e-05,10,400
weight:3.project.weight,1536,e3m4,1.0,0.7373069519111336,adaptive,1.3560175533525733e-06,5.161984922013796e-06,2.0021878940316962e-05,10,400
weight:3.project.bias,32,e3m4,1.0,0.9329528161606845,adaptive,5.392850887082937e-07,8.04336674304976e-06,1.2599211525366613e-05,10,400
weight:4.expand.weight,1536,e3m4,1.0,0.74915562608064,adaptive,2.1551947504026476e-06,8.591760368105713e-06,3.231396646239004e-05,10,400
weight:4.expand.bias,48,e3m4,1.0,0.7073177240094262,adaptive,1.9073186367917547e-06,6.5166865001869185e-06,4.78657810023391e-05,10,400
weight:4.project.weight,1536,e3m4,1.0,0.7276099724125207,adaptive,1.3504960036621128e-06,4.957949509470918e-06,2.0542790521142013e-05,10,400
weight:4.project.bias,32,e3m4,1.0,0.73451268789383,adaptive,1.2653285267341602e-06,4.766060256123077e-06,1.93634911326293e-05,10,400
weight:5.weight,32,e3m4,1.0,0.6965087849807511,adaptive,1.6969580048408688e-06,5.591456756773798e-06,3.2666435838605225e-05,10,400
weight:5.bias,1,e4m3,1.0,0.0,adaptive,3.0871655579134405e-08,3.0871655579134405e-08,1.391697855458729e-05,10,400
gradient:1.weight,576,e3m4,1.0,0.7686130526310467,adaptive,2.3606052714549987e-11,1.0201981132889678e-10,4.4653675787003074e-10,10,400
gradient:1.bias,32,e3m4,1.0,0.7065172074172019,adaptive,8.241568000723469e-10,2.8081946229942382e-09,1.0713009536744851e-08,10,400
gradient:2.expand.weight,1536,e3m4,1.0,0.7494899940903786,adaptive,2.4974706590161477e-12,9.969544529559353e-12,3.709881910334497e-11,10,400
gradient:2.expand.bias,48,e3m4,1.0,0.7509449183789002,adaptive,9.988830240785849e-11,4.0106911996207997e-10,1.4316873710041207e-09,10,400
gradient:2.project.weight,1536,e3m4,1.0,0.708304297332939,adaptive,5.481541997692998e-12,1.8791987497839773e-11,8.929807644081855e-11,10,400
gradient:2.project.bias,32,e3m4,1.0,0.7258698212057797,adaptive,3.2603502338922903e-10,1.189343781203936e-09,5.670868464674841e-09,10,400
gradient:3.expand.weight,1536,e3m4,1.0,0.7086961224992702,adaptive,2.9150383115255965e-12,1.0006864091667623e-11,4.317197486665158e-11,10,400
gradient:3.expand.bias,48,e3m4,1.0,0.670850740324686,adaptive,5.086602549365428e-11,1.5453786997373339e-10,3.757489428061274e-10,10,400
gradient:3.project.weight,1536,e3m4,1.0,0.691290276952194,adaptive,4.860705761893967e-12,1.5745230548314318e-11,6.970524874265722e-11,10,400
gradient:3.project.bias,32,e3m4,1.0,0.8735598753631553,adaptive,9.68715810206746e-11,7.661458836655257e-10,2.8348540051376105e-09,10,400
gradient:4.expand.weight,1536,e3m4,1.0,0.73332631491168,adaptive,2.032295121513054e-12,7.620906130426685e-12,2.7667088564668127e-11,10,400
gradient:4.expand.bias,48,e3m4,1.0,0.7002178808420247,adaptive,2.5116869600584738e-11,8.37837482473362e-11,2.3977193198871523e-10,10,400
gradient:4.project.weight,1536,e3m4,1.0,0.7320721147993202,adaptive,2.786206680119477e-12,1.0399091822908203e-11,4.4837173880942163e-11,10,400
gradient:4.project.bias,32,e3m4,1.0,0.7164279115884729,adaptive,1.4568044914269494e-10,5.137333859575053e-10,1.5755605311021009e-09,10,400
gradient:5.weight,32,e3m4,1.0,0.9576037343763181,adaptive,5.65398145740866e-10,1.3336036498107114e-08,3.1601761125371504e-08,10,400
gradient:5.bias,1,e3m4,1.0,0.26197294565507784,adaptive,5.0911263985847777e-08,6.898292371007586e-08,5.096767624647447e-07,10,400
weight:1.weight,576,e3m4,1.0,0.7293990785714944,adaptive,2.9351975501419293e-06,1.0846960663130731e-05,4.444426875414271e-05,10,500
weight:1.bias,32,e3m4,1.0,0.6723089523846785,adaptive,3.7363721068383582e-06,1.1402118349063072e-05,4.669883617493536e-05,10,500
weight:2.expand.weight,1536,e3m4,1.0,0.7235998538592592,adaptive,2.0716911624605017e-06,7.495260734795748e-06,3.218606344307373e-05,10,500
weight:2.expand.bias,48,e3m4,1.0,0.6780655238976206,adaptive,1.4377158008865214e-06,4.465864663806025e-06,3.090238374018055e-05,10,500
weight:2.project.weight,1536,e3m4,1.0,0.7666414644195758,adaptive,1.304999811971356e-06,5.592252319913978e-06,2.268355848272984e-05,10,500
weight:2.project.bias,32,e3m4,1.0,0.8278218124566542,adaptive,1.7194263731789135e-06,9.986319392205525e-06,2.5440978143174042e-05,10,500
weight:3.expand.weight,1536,e3m4,1.0,0.7353927507705545,adaptive,1.9961980425303294e-06,7.544003606641146e-06,3.065789464663231e-05,10,500
weight:3.expand.bias,48,e3m4,1.0,0.5734871333644391,adaptive,2.796555967469306e-06,6.5567915676946204e-06,4.5902251397744475e-05,10,500
weight:3.project.weight,1536,e3m4,1.0,0.740045900449339,adaptive,1.340647504348554e-06,5.157247016553715e-06,2.011437891446823e-05,10,500
weight:3.project.bias,32,e3m4,1.0,0.9283884945070714,adaptive,5.94872292977835e-07,8.306937396206195e-06,1.2545799708493902e-05,10,500
weight:4.expand.weight,1536,e3m4,1.0,0.7421472988006056,adaptive,2.2003286623907976e-06,8.53327753463909e-06,3.246534842613326e-05,10,500
weight:4.expand.bias,48,e3m4,1.0,0.7146737701857048,adaptive,1.7624905353192303e-06,6.177106592921191e-06,5.019499721605929e-05,10,500
weight:4.project.weight,1536,e3m4,1.0,0.7282274027215195,adaptive,1.3571774722013534e-06,4.9937980715939436e-06,2.0424506931172633e-05,10,500
weight:4.project.bias,32,e3m4,1.0,0.7288481982140743,adaptive,1.2964007839374905e-06,4.7810885835861015e-06,1.9326686215729016e-05,10,500
weight:5.weight,32,e3m4,1.0,0.6976691901189283,adaptive,1.6811236490642352e-06,5.560543597013949e-06,3.238067915833685e-05,10,500
weight:5.bias,1,e4m3,1.0,0.0,adaptive,2.1721943258001808e-08,2.1721943258001808e-08,1.4129076161398246e-05,10,500
gradient:1.weight,576,e3m4,1.0,0.7272788496338265,adaptive,8.594889566446134e-12,3.1515302553197895e-11,1.2307323462731508e-10,10,500
gradient:1.bias,32,e3m4,1.0,0.7731835374691985,adaptive,1.4545601848367711e-11,6.412939204707167e-11,2.8193894716126176e-10,10,500
gradient:2.expand.weight,1536,e3m4,1.0,0.7264768965270718,adaptive,3.964825144472652e-13,1.4495393969032924e-12,5.534056433423272e-12,10,500
gradient:2.expand.bias,48,e3m4,1.0,0.8332649867941756,adaptive,2.3402834184498453e-12,1.4035944661250638e-11,3.081518077166991e-11,10,500
gradient:2.project.weight,1536,e3m4,1.0,0.7750116891173495,adaptive,1.8137513413518298e-13,8.061535882625683e-13,3.226278829020206e-12,10,500
gradient:2.project.bias,32,e3m4,1.0,0.5980000986570161,adaptive,8.156633885887936e-12,2.0290139024011216e-11,1.587624212215237e-10,10,500
gradient:3.expand.weight,1536,e3m4,1.0,0.7267439994775496,adaptive,1.8291560182841234e-13,6.6939280922903e-13,2.8790381512162123e-12,10,500
gradient:3.expand.bias,48,e3m4,1.0,0.8055154012754587,adaptive,1.0777858087919361e-12,5.541754030191671e-12,1.953742198122514e-11,10,500
gradient:3.project.weight,1536,e3m4,1.0,0.7156102469158637,adaptive,2.7679942605527477e-13,9.733101247617173e-13,4.607829207623594e-12,10,500
gradient:3.project.bias,32,e3m4,1.0,0.7406548820516606,adaptive,5.486138571677374e-12,2.1153814712526003e-11,1.1458288258018792e-10,10,500
gradient:4.expand.weight,1536,e3m4,1.0,0.7653173730273688,adaptive,1.2806432511611832e-13,5.456915442277423e-13,2.0401216512135165e-12,10,500
gradient:4.expand.bias,48,e3m4,1.0,0.5791894678648817,adaptive,1.2363713136149551e-12,2.938071220180316e-12,1.462648058193286e-11,10,500
gradient:4.project.weight,1536,e3m4,1.0,0.7395215025492735,adaptive,9.615388288115819e-14,3.691432645005455e-13,1.602613423349367e-12,10,500
gradient:4.project.bias,32,e3m4,1.0,0.7621136996461376,adaptive,3.104075517958388e-12,1.3048567796216054e-11,4.660506237469374e-11,10,500
gradient:5.weight,32,e3m4,1.0,0.8999915187009345,adaptive,4.1188372513556537e-11,4.118487950075634e-10,1.1357003362142516e-09,10,500
gradient:5.bias,1,e4m3,1.0,0.0,adaptive,3.4950812995713024e-12,3.4950812995713024e-12,3.4950812995713024e-12,10,500
weight:1.weight,576,e3m4,1.0,0.7357440563605728,adaptive,2.9045332797992218e-06,1.0991364053337659e-05,4.409788688244902e-05,10,600
weight:1.bias,32,e3m4,1.0,0.7091808374806132,adaptive,3.513975319943385e-06,1.2083025373918176e-05,4.5905131535014775e-05,10,600
weight:2.expand.weight,1536,e3m4,1.0,0.7223735046884467,adaptive,2.066165941647608e-06,7.442250565202542e-06,3.214191631230705e-05,10,600
weight:2.expand.bias,48,e3m4,1.0,0.7038242942719927,adaptive,1.3881110177524938e-06,4.6867821732389634e-06,3.0786491603366366e-05,10,600
weight:2.project.weight,1536,e3m4,1.0,0.7676766453118871,adaptive,1.3018404935376033e-06,5.603571346863878e-06,2.2749434130634143e-05,10,600
weight:2.project.bias,32,e3m4,1.0,0.8283216630976459,adaptive,1.6992690841521365e-06,9.897981974968887e-06,2.4952288217459042e-05,10,600
weight:3.expand.weight,1536,e3m4,1.0,0.7307039249574971,adaptive,2.0044899154784372e-06,7.443442742944062e-06,3.0564436518901166e-05,10,600
weight:3.expand.bias,48,e3m4,1.0,0.5309141236485984,adaptive,2.879324731827724e-06,6.138161213088335e-06,4.590756119367833e-05,10,600
weight:3.project.weight,1536,e3m4,1.0,0.7473168713456849,adaptive,1.301902780896616e-06,5.152313839986101e-06,2.018390539717051e-05,10,600
weight:3.project.bias,32,e3m4,1.0,0.9363088392316458,adaptive,5.483087482228536e-07,8.608867252664171e-06,1.2573994043125853e-05,10,600
weight:4.expand.weight,1536,e3m4,1.0,0.7319072636245921,adaptive,2.253669966957737e-06,8.406307449530985e-06,3.297539961999413e-05,10,600
weight:4.expand.bias,48,e3m4,1.0,0.6550366285664821,adaptive,2.1193514011949613e-06,6.143699814817608e-06,4.925989916282838e-05,10,600
weight:4.project.weight,1536,e3m4,1.0,0.7295795918263491,adaptive,1.3666368699603407e-06,5.053749009515409e-06,2.0336228531806787e-05,10,600
weight:4.project.bias,32,e3m4,1.0,0.7315425410345616,adaptive,1.2846354740432784e-06,4.785247834028945e-06,1.929773149149843e-05,10,600
weight:5.weight,32,e3m4,1.0,0.6797758575417081,adaptive,1.7490679359079585e-06,5.462011460100228e-06,3.2113616685070125e-05,10,600
weight:5.bias,1,e4m3,1.0,0.0,adaptive,2.656416754620583e-08,2.656416754620583e-08,1.401203154373365e-05,10,600
gradient:1.weight,576,e3m4,1.0,0.702898828800444,adaptive,3.402091277070568e-11,1.1450952089264778e-10,4.2208264812353765e-10,10,600
gradient:1.bias,32,e3m4,1.0,0.7513934677790959,adaptive,4.2009589433460913e-10,1.6898023176692913e-09,5.109695908208694e-09,10,600
gradient:2.expand.weight,1536,e3m4,1.0,0.7754890533570344,adaptive,2.849829052093336e-12,1.2693497108741656e-11,4.967115182103998e-11,10,600
gradient:2.expand.bias,48,e3m4,1.0,0.9215094967210281,adaptive,3.948403221903288e-11,5.030421588545341e-10,5.545790318586754e-10,10,600
gradient:2.project.weight,1536,e3m4,1.0,0.7366725951723717,adaptive,4.489050803630939e-12,1.7047412161941253e-11,7.842216068483832e-11,10,600
gradient:2.project.bias,32,e3m4,1.0,0.8384574046348103,adaptive,1.447375496673788e-10,8.959714268560516e-10,4.166878191914586e-09,10,600
gradient:3.expand.weight,1536,e3m4,1.0,0.8055650655860277,adaptive,1.5945137150428037e-12,8.20075733740274e-12,2.8451357615230962e-11,10,600
gradient:3.expand.bias,48,e3m4,1.0,0.7541031054961125,adaptive,3.4114964383094996e-11,1.3873686551399555e-10,5.860289624660087e-10,10,600
gradient:3.project.weight,1536,e3m4,1.0,0.757521529695971,adaptive,3.3870767761946866e-12,1.396856707297698e-11,5.466656565224821e-11,10,600
gradient:3.project.bias,32,e3m4,1.0,0.8680553925075074,adaptive,1.302449789176983e-10,9.871186204037095e-10,2.2886102570886244e-09,10,600
gradient:4.expand.weight,1536,e3m4,1.0,0.6833015877740061,adaptive,1.5968270101845052e-12,5.042106144330841e-12,2.360245886376884e-11,10,600
